sampleID,phenotype,file_name,G1_amplitude,G1_sigma,G2_amplitude,G2_sigma,G3_amplitude,G3_sigma,Baysian Information Criterion,Total dip depth,Intercept,Total dip area (AOC combined model),region-set,is control,Dip area: z-score vs controls in same region set,Dip area: Prediction interval of controls,Dip area: interpretation vs controls in same region set,Dip depth: z-score vs controls in same region set,Dip depth: Prediction interval of controls,Dip depth: interpretation vs controls in same region set,ref_genome,settings
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-32.98824149,149,-143.4893987,758,-279.9201646,6078.029464,-843.5050556,0.182217701,0.011235143,-462.6006225,hematopoietic_specific_liquorice_hg19.no_chr,healthy_control,-0.8,(-601.565037508039;-165.36525126836523),N/A,0.74,(0.06633537865348424;0.23991380130004938),N/A,0memhg19,False40
LP0025_02_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,14.82058127,150,-107.9534172,757.9999999,-356.0919239,6078.039855,-783.2656196,0.040772509,0.011412711,-447.5078256,hematopoietic_specific_liquorice_hg19.no_chr,healthy_control,-0.64,(-601.565037508039;-165.36525126836523),N/A,-2.84,(0.06633537865348424;0.23991380130004938),N/A,0memhg19,False40
LP0025_03_L003,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-28.31827896,149,-137.3823281,757.9999999,-252.2984013,6078.02298,-707.8354487,0.164686847,0.010018512,-423.4413681,hematopoietic_specific_liquorice_hg19.no_chr,healthy_control,-0.4,(-601.565037508039;-165.36525126836523),N/A,0.29,(0.06633537865348424;0.23991380130004938),N/A,0memhg19,False40
LP0025_04_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-24.58994668,150,-103.542395,758,-138.1229623,6078.099084,-816.5356282,0.128960947,0.006231509,-270.9077135,hematopoietic_specific_liquorice_hg19.no_chr,healthy_control,1.13,(-601.565037508039;-165.36525126836523),N/A,-0.61,(0.06633537865348424;0.23991380130004938),N/A,0memhg19,False40
LP0025_05_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-11.13027313,149,-78.96742095,758,-309.9465425,6078.006967,-678.3478224,0.09170616,0.010213916,-402.1823055,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,-0.19,(-601.565037508039;-165.36525126836523),n.s.,-1.55,(0.06633537865348424;0.23991380130004938),n.s.,0memhg19,False40
LP0025_06_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-21.33429813,149,-119.8207077,758,-96.52845938,6078.015066,-758.4937627,0.1265204,0.005863504,-242.0363412,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,1.42,(-601.565037508039;-165.36525126836523),n.s.,-0.67,(0.06633537865348424;0.23991380130004938),n.s.,0memhg19,False40
LP0025_07_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUOqRICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-28.39680026,149,-113.2449255,758,-117.2616047,6078.017013,-811.3221127,0.143329967,0.006436263,-264.2837492,hematopoietic_specific_liquorice_hg19.no_chr,healthy_control,1.2,(-601.565037508039;-165.36525126836523),N/A,-0.25,(0.06633537865348424;0.23991380130004938),N/A,0memhg19,False40
LP0025_08_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-34.28980083,149,-107.39434,758,-111.599854,6078.047065,-776.8826874,0.155657398,0.00604162,-259.543601,hematopoietic_specific_liquorice_hg19.no_chr,healthy_control,1.25,(-601.565037508039;-165.36525126836523),N/A,0.06,(0.06633537865348424;0.23991380130004938),N/A,0memhg19,False40
LP0025_10_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-17.63951507,149.0014249,5.34109018,757.0000164,1.139848637,6078.981509,-839.4608193,0.044339152,0.001703247,-13.88480683,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,3.72,(-601.565037508039;-165.36525126836523),Significantly weaker coverage drop,-2.75,(0.06633537865348424;0.23991380130004938),Significantly weaker coverage drop,0memhg19,False40
LP0025_11_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-39.12328834,149,-89.85966689,758,-118.2530176,6078.049037,-787.4035594,0.159806922,0.006247194,-254.0870698,hematopoietic_specific_liquorice_hg19.no_chr,lung_cancer,1.3,(-601.565037508039;-165.36525126836523),n.s.,0.17,(0.06633537865348424;0.23991380130004938),n.s.,0memhg19,False40
