sampleID,phenotype,file_name,G1_amplitude,G1_sigma,G2_amplitude,G2_sigma,G3_amplitude,G3_sigma,Baysian Information Criterion,Total dip depth,Intercept,Total dip area (AOC combined model),region-set,is control,Dip area: z-score vs controls in same region set,Dip area: Prediction interval of controls,Dip area: interpretation vs controls in same region set,Dip depth: z-score vs controls in same region set,Dip depth: Prediction interval of controls,Dip depth: interpretation vs controls in same region set,ref_genome,settings
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-7.115538874,150,-8.024916968,757,180.7619417,6078.999982,-733.1032721,0.011291024,-0.006519208,164.2347239,SAEC_hg19.no_chr,healthy_control,-0.31,(27.1386624680608; 346.8432267613184),N/A,1.44,(-0.0812155684521266; 0.030571088790355472),N/A,0memhg19,False40
LP0025_02_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,6.728768204,149,33.30847869,758,113.6954715,6078.000001,-712.1280161,-0.043009239,-0.005682812,154.9731366,SAEC_hg19.no_chr,healthy_control,-0.44,(27.1386624680608; 346.8432267613184),N/A,-0.69,(-0.0812155684521266; 0.030571088790355472),N/A,0memhg19,False40
LP0025_03_L003,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,4.107807977,149.9984176,-2.677041161,757.9999889,102.0773846,6078.999999,-608.4910262,-0.016215315,-0.007083028,104.0147033,SAEC_hg19.no_chr,healthy_control,-1.14,(27.1386624680608; 346.8432267613184),N/A,0.36,(-0.0812155684521266; 0.030571088790355472),N/A,0memhg19,False40
LP0025_04_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-5.72378689,150,-4.015461973,757.0220389,164.2419312,6078.000005,-737.803357,0.006558812,-0.004883162,153.3893871,SAEC_hg19.no_chr,healthy_control,-0.46,(27.1386624680608; 346.8432267613184),N/A,1.25,(-0.0812155684521266; 0.030571088790355472),N/A,0memhg19,False40
LP0025_05_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,4.505100575,150,30.04349655,757,-170.5984428,6078.11353,-594.9273247,-0.01661751,5.02E-04,-134.8798314,SAEC_hg19.no_chr,lung_cancer,-4.42,(27.1386624680608; 346.8432267613184),Significantly stronger coverage drop,0.34,(-0.0812155684521266; 0.030571088790355472),n.s.,0memhg19,False40
LP0025_06_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-10.56813585,150,89.28995112,757.9999999,119.8871968,6078.051857,-617.2333075,-0.026755919,-0.006719221,197.644894,SAEC_hg19.no_chr,lung_cancer,0.15,(27.1386624680608; 346.8432267613184),n.s.,-0.06,(-0.0812155684521266; 0.030571088790355472),n.s.,0memhg19,False40
LP0025_07_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,4.280217173,150,-3.302292918,757.9998716,169.3423551,6078.999829,-713.004161,-0.020759017,-0.006230192,170.7742404,SAEC_hg19.no_chr,healthy_control,-0.22,(27.1386624680608; 346.8432267613184),N/A,0.18,(-0.0812155684521266; 0.030571088790355472),N/A,0memhg19,False40
LP0025_08_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,8.68674901,150,25.08894543,757,193.8840621,6078.006074,-689.1681173,-0.04905137,-0.00648056,229.039462,SAEC_hg19.no_chr,healthy_control,0.58,(27.1386624680608; 346.8432267613184),N/A,-0.93,(-0.0812155684521266; 0.030571088790355472),N/A,0memhg19,False40
LP0025_10_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-42.53094282,150,-73.15859617,757,-21.79915917,6078.131268,-675.7230709,0.153101649,-6.60E-04,-144.8007176,SAEC_hg19.no_chr,lung_cancer,-4.55,(27.1386624680608; 346.8432267613184),Significantly stronger coverage drop,7,(-0.0812155684521266; 0.030571088790355472),Significantly stronger coverage drop,0memhg19,False40
LP0025_11_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-9.602968931,150,-2.036642811,757,89.7030916,6078.007926,-666.6478863,0.02072568,-0.004167655,76.44269063,SAEC_hg19.no_chr,lung_cancer,-1.52,(27.1386624680608; 346.8432267613184),n.s.,1.81,(-0.0812155684521266; 0.030571088790355472),n.s.,0memhg19,False40
LP0025_12_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-2.564435462,150,14.87012746,758,129.8075808,6078.037792,-683.2999541,-0.009526012,-0.00516105,141.7064118,SAEC_hg19.no_chr,lung_cancer,-0.62,(27.1386624680608; 346.8432267613184),n.s.,0.62,(-0.0812155684521266; 0.030571088790355472),n.s.,0memhg19,False40
LP0025_15_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-16.10390706,149.9999998,3.860941913,757.9999999,-27.14313139,6078.000002,-702.2033413,0.042579746,-9.37E-04,-41.84248107,SAEC_hg19.no_chr,lung_cancer,-3.14,(27.1386624680608; 346.8432267613184),Significantly stronger coverage drop,2.66,(-0.0812155684521266; 0.030571088790355472),Significantly stronger coverage drop,0memhg19,False40
LP0025_17_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-12.42956761,149,15.46388645,758,41.09377315,6078.06844,-702.399424,0.022443704,-0.002650587,42.27050706,SAEC_hg19.no_chr,lung_cancer,-1.99,(27.1386624680608; 346.8432267613184),n.s.,1.87,(-0.0812155684521266; 0.030571088790355472),n.s.,0memhg19,False40
LP0025_21_L004,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-6.450788226,150,-43.07025368,757,-145.4284636,6078.999946,-708.922068,0.049398759,0.005581381,-196.1980407,SAEC_hg19.no_chr,lung_cancer,-5.26,(27.1386624680608; 346.8432267613184),Significantly stronger coverage drop,2.93,(-0.0812155684521266; 0.030571088790355472),Significantly stronger coverage drop,0memhg19,False40
LP0025_24_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,0.528057085,149.0001976,5.484397664,758,24.01191517,6078.030383,-640.8585228,-0.005876406,-0.001817065,30.13161068,SAEC_hg19.no_chr,lung_cancer,-2.15,(27.1386624680608; 346.8432267613184),n.s.,0.76,(-0.0812155684521266; 0.030571088790355472),n.s.,0memhg19,False40
LP0026_05_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-3.166866341,150,16.28688157,758,176.7187678,6078.024144,-740.3298755,-0.011748549,-0.006003756,189.2992455,SAEC_hg19.no_chr,lung_cancer,0.03,(27.1386624680608; 346.8432267613184),n.s.,0.53,(-0.0812155684521266; 0.030571088790355472),n.s.,0memhg19,False40
LP0026_07_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,2.753316358,149,-3.942984154,757.0055404,95.72423255,6078.999999,-745.3063846,-0.011575981,-0.003599654,94.82610695,SAEC_hg19.no_chr,lung_cancer,-1.26,(27.1386624680608; 346.8432267613184),n.s.,0.54,(-0.0812155684521266; 0.030571088790355472),n.s.,0memhg19,False40
LP0026_08_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-24.64109498,149,-75.94767416,757.0000002,-139.6174398,6078.960838,-677.29258,0.115163063,0.002045999,-244.6304383,SAEC_hg19.no_chr,lung_cancer,-5.92,(27.1386624680608; 346.8432267613184),Significantly stronger coverage drop,5.51,(-0.0812155684521266; 0.030571088790355472),Significantly stronger coverage drop,0memhg19,False40
LP0026_22_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-16.39554355,150,-0.043511177,757.9999998,-76.17942372,6078.98851,-685.9164208,0.048628123,0.001043788,-95.10260057,SAEC_hg19.no_chr,lung_cancer,-3.87,(27.1386624680608; 346.8432267613184),Significantly stronger coverage drop,2.9,(-0.0812155684521266; 0.030571088790355472),Significantly stronger coverage drop,0memhg19,False40
