sampleID	Tumor.Fraction	ref_genome	settings
LP0020_01	0.01114	0memhg19	False40
LP0020_02	0.01697	0memhg19	False40
LP0020_03	0.01165	0memhg19	False40
LP0020_04	0.01746	0memhg19	False40
LP0020_05	0.01376	0memhg19	False40
LP0020_06	0.01413	0memhg19	False40
LP0020_07	0.01594	0memhg19	False40
LP0020_08	0.01361	0memhg19	False40
LP0025_01_L004	0.007868	0memhg19	False40
LP0025_02_L004	0.01159	0memhg19	False40
LP0025_03_L003	0.01205	0memhg19	False40
LP0025_04_L004	0	0memhg19	False40
LP0025_05_L003	0.01084	0memhg19	False40
LP0025_06_L003	0.01886	0memhg19	False40
LP0025_07_L004	0.01267	0memhg19	False40
LP0025_08_L004	0.01068	0memhg19	False40
LP0025_10_L003	0.8342	0memhg19	False40
LP0025_11_L003	0.01858	0memhg19	False40
LP0025_12_L003	0.0121	0memhg19	False40
LP0025_15_L003	0.08679	0memhg19	False40
LP0025_17_L003	0.01938	0memhg19	False40
LP0025_21_L004	0.1101	0memhg19	False40
LP0025_24_L003	0.01331	0memhg19	False40
LP0026_05_L003	0.02827	0memhg19	False40
LP0026_07_L003	0.01028	0memhg19	False40
LP0026_08_L003	0.2778	0memhg19	False40
LP0026_22_L003	0.2208	0memhg19	False40
LP0026_26_L004	0.4498	0memhg19	False40
LP0026_38_L004	0.1543	0memhg19	False40
LP0026_42_L004	0.152	0memhg19	False40
LP0027_26_L003	0.1382	0memhg19	False40
LP0027_35_L003	0.1605	0memhg19	False40
LP0027_39_L003	0.1512	0memhg19	False40
LP0028_01_L004	0.1099	0memhg19	False40
LP0029_02_L004	0.008293	0memhg19	False40
LP0029_04_L003	0.01459	0memhg19	False40
LP0029_05_L004	0.008261	0memhg19	False40
LP0029_06_L003	0.009343	0memhg19	False40
LP0030_03_L004	0.0137	0memhg19	False40
LP0030_05_L004	0.01745	0memhg19	False40
LP0020_01	0.01111	0memhg19	FalseDI26830XA
LP0020_02	0.01534	0memhg19	FalseDI26830XA
LP0020_03	0.01403	0memhg19	FalseDI26830XA
LP0020_04	0	0memhg19	FalseDI26830XA
LP0020_05	0.01049	0memhg19	FalseDI26830XA
LP0020_06	0.01548	0memhg19	FalseDI26830XA
LP0020_07	0.01497	0memhg19	FalseDI26830XA
LP0020_08	0.01342	0memhg19	FalseDI26830XA
LP0025_01_L004	0	0memhg19	FalseDI26830XA
LP0025_02_L004	0.01349	0memhg19	FalseDI26830XA
LP0025_03_L003	0.01313	0memhg19	FalseDI26830XA
LP0025_04_L004	0	0memhg19	FalseDI26830XA
LP0025_05_L003	0	0memhg19	FalseDI26830XA
LP0025_06_L003	0.018	0memhg19	FalseDI26830XA
LP0025_07_L004	0.01152	0memhg19	FalseDI26830XA
LP0025_08_L004	0.01706	0memhg19	FalseDI26830XA
LP0025_10_L003	0.8359	0memhg19	FalseDI26830XA
LP0025_11_L003	0.01962	0memhg19	FalseDI26830XA
LP0025_12_L003	0.01214	0memhg19	FalseDI26830XA
LP0025_15_L003	0.08573	0memhg19	FalseDI26830XA
LP0025_17_L003	0.01906	0memhg19	FalseDI26830XA
LP0025_21_L004	0.1092	0memhg19	FalseDI26830XA
LP0025_24_L003	0.01695	0memhg19	FalseDI26830XA
LP0026_05_L003	0.02675	0memhg19	FalseDI26830XA
LP0026_07_L003	0.007442	0memhg19	FalseDI26830XA
LP0026_08_L003	0.2813	0memhg19	FalseDI26830XA
LP0026_22_L003	0.2215	0memhg19	FalseDI26830XA
LP0026_26_L004	0.4497	0memhg19	FalseDI26830XA
LP0026_38_L004	0.1551	0memhg19	FalseDI26830XA
LP0026_42_L004	0.1592	0memhg19	FalseDI26830XA
LP0027_26_L003	0.1369	0memhg19	FalseDI26830XA
LP0027_35_L003	0.1599	0memhg19	FalseDI26830XA
LP0027_39_L003	0.1549	0memhg19	FalseDI26830XA
LP0028_01_L004	0.1102	0memhg19	FalseDI26830XA
LP0029_02_L004	0.007769	0memhg19	FalseDI26830XA
LP0029_04_L003	0.01515	0memhg19	FalseDI26830XA
LP0029_05_L004	0.006624	0memhg19	FalseDI26830XA
LP0029_06_L003	0.01036	0memhg19	FalseDI26830XA
LP0030_03_L004	0.01453	0memhg19	FalseDI26830XA
LP0030_05_L004	0.0202	0memhg19	FalseDI26830XA
LP0020_01	0.01361	0memhg19	True40
LP0020_02	0.01943	0memhg19	True40
LP0020_03	0.01126	0memhg19	True40
LP0020_04	0.01347	0memhg19	True40
LP0020_05	0.01384	0memhg19	True40
LP0020_06	0.01322	0memhg19	True40
LP0020_07	0.02489	0memhg19	True40
LP0020_08	0.01301	0memhg19	True40
LP0025_01_L004	0	0memhg19	True40
LP0025_02_L004	0.01356	0memhg19	True40
LP0025_03_L003	0.01245	0memhg19	True40
LP0025_04_L004	0.009299	0memhg19	True40
LP0025_05_L003	0.01121	0memhg19	True40
LP0025_06_L003	0.02073	0memhg19	True40
LP0025_07_L004	0.01347	0memhg19	True40
LP0025_08_L004	0.01526	0memhg19	True40
LP0025_10_L003	0.8351	0memhg19	True40
LP0025_11_L003	0.02276	0memhg19	True40
LP0025_12_L003	0.0146	0memhg19	True40
LP0025_15_L003	0.09107	0memhg19	True40
LP0025_17_L003	0.02085	0memhg19	True40
LP0025_21_L004	0.1086	0memhg19	True40
LP0025_24_L003	0.01271	0memhg19	True40
LP0026_05_L003	0.02542	0memhg19	True40
LP0026_07_L003	0.006807	0memhg19	True40
LP0026_08_L003	0.2817	0memhg19	True40
LP0026_22_L003	0.2201	0memhg19	True40
LP0026_26_L004	0.4495	0memhg19	True40
LP0026_38_L004	0.1546	0memhg19	True40
LP0026_42_L004	0.1636	0memhg19	True40
LP0027_26_L003	0.1372	0memhg19	True40
LP0027_35_L003	0.1543	0memhg19	True40
LP0027_39_L003	0.1532	0memhg19	True40
LP0028_01_L004	0.1141	0memhg19	True40
LP0029_02_L004	0.01266	0memhg19	True40
LP0029_04_L003	0.01186	0memhg19	True40
LP0029_05_L004	0.006694	0memhg19	True40
LP0029_06_L003	0.01265	0memhg19	True40
LP0030_03_L004	0.01608	0memhg19	True40
LP0030_05_L004	0.0226	0memhg19	True40
LP0020_01	0.01361	0memhg19	TrueDI26830XA
LP0020_02	0.01943	0memhg19	TrueDI26830XA
LP0020_03	0.01126	0memhg19	TrueDI26830XA
LP0020_04	0.01347	0memhg19	TrueDI26830XA
LP0020_05	0.01384	0memhg19	TrueDI26830XA
LP0020_06	0.01322	0memhg19	TrueDI26830XA
LP0020_07	0.02489	0memhg19	TrueDI26830XA
LP0020_08	0.01301	0memhg19	TrueDI26830XA
LP0025_01_L004	0	0memhg19	TrueDI26830XA
LP0025_02_L004	0.01356	0memhg19	TrueDI26830XA
LP0025_03_L003	0.01245	0memhg19	TrueDI26830XA
LP0025_04_L004	0.009299	0memhg19	TrueDI26830XA
LP0025_05_L003	0.01121	0memhg19	TrueDI26830XA
LP0025_06_L003	0.02073	0memhg19	TrueDI26830XA
LP0025_07_L004	0.01347	0memhg19	TrueDI26830XA
LP0025_08_L004	0.01526	0memhg19	TrueDI26830XA
LP0025_10_L003	0.8351	0memhg19	TrueDI26830XA
