sampleID	tMAD_vs_control	ref_genome	settings
LP0020_01	0.00684362638398544	0memhg19	False40
LP0020_02	0.0106143337687847	0memhg19	False40
LP0020_03	0.00961774310129139	0memhg19	False40
LP0020_04	0.0151052950649953	0memhg19	False40
LP0020_05	0.0151172720707617	0memhg19	False40
LP0020_06	0.0145984320054353	0memhg19	False40
LP0020_07	0.00883261421347078	0memhg19	False40
LP0020_08	0.0120097133399589	0memhg19	False40
LP0025_01_L004	0.00363880800890873	0memhg19	False40
LP0025_02_L004	0.0098183608715332	0memhg19	False40
LP0025_03_L003	0.0140915288595696	0memhg19	False40
LP0025_04_L004	0.010513768938381	0memhg19	False40
LP0025_07_L004	0.00852411114659464	0memhg19	False40
LP0025_08_L004	0.00783177941706026	0memhg19	False40
LP0029_02_L004	0.00911645670273268	0memhg19	False40
LP0029_04_L003	0.0112137365400918	0memhg19	False40
LP0029_05_L004	0.0113383793914109	0memhg19	False40
LP0029_06_L003	0.00672892613700112	0memhg19	False40
LP0030_03_L004	0.0110068692171424	0memhg19	False40
LP0030_05_L004	0.00952173141670301	0memhg19	False40
LP0025_05_L003	0.0120370938617667	0memhg19	False40
LP0025_06_L003	0.0107542308317436	0memhg19	False40
LP0025_10_L003	0.036452022956397	0memhg19	False40
LP0025_11_L003	0.00782460025602372	0memhg19	False40
LP0025_12_L003	0.0110541007344055	0memhg19	False40
LP0025_15_L003	0.0293364450445869	0memhg19	False40
LP0025_17_L003	0.0117747193102771	0memhg19	False40
LP0025_21_L004	0.0668299572592771	0memhg19	False40
LP0025_24_L003	0.00643457808771848	0memhg19	False40
LP0026_05_L003	0.0183863532638756	0memhg19	False40
LP0026_07_L003	0.00818153670479173	0memhg19	False40
LP0026_08_L003	0.163901287112212	0memhg19	False40
LP0026_22_L003	0.0218306260796394	0memhg19	False40
LP0026_26_L004	0.090880489189199	0memhg19	False40
LP0026_38_L004	0.0719789880059619	0memhg19	False40
LP0026_42_L004	0.11580029220602	0memhg19	False40
LP0027_26_L003	0.0659237815230264	0memhg19	False40
LP0027_35_L003	0.0427429589423587	0memhg19	False40
LP0027_39_L003	0.0411257176983703	0memhg19	False40
LP0028_01_L004	0.0350249296326866	0memhg19	False40
LP0020_01	0.00783177941706029	0memhg19	FalseDI26830XA
LP0020_02	0.020076875	0memhg19	FalseDI26830XA
LP0020_03	0.0103047484533142	0memhg19	FalseDI26830XA
LP0020_04	0.011327180748724	0memhg19	FalseDI26830XA
LP0020_05	0.0112228812803922	0memhg19	FalseDI26830XA
LP0020_06	0.00923651809218915	0memhg19	FalseDI26830XA
LP0020_07	0.00895864853095324	0memhg19	FalseDI26830XA
LP0020_08	0.0106410385010482	0memhg19	FalseDI26830XA
LP0025_01_L004	0.00533183947035589	0memhg19	FalseDI26830XA
LP0025_02_L004	0.0127430183985076	0memhg19	FalseDI26830XA
LP0025_03_L003	0.00881891724711494	0memhg19	FalseDI26830XA
LP0025_04_L004	0.0112171602138505	0memhg19	FalseDI26830XA
LP0025_07_L004	0.0117572816331157	0memhg19	FalseDI26830XA
LP0025_08_L004	0.00743141084646351	0memhg19	FalseDI26830XA
LP0029_02_L004	0.0103376600385363	0memhg19	FalseDI26830XA
LP0029_04_L003	0.0109225836216448	0memhg19	FalseDI26830XA
LP0029_05_L004	0.00784928304659192	0memhg19	FalseDI26830XA
LP0029_06_L003	0.011047919952427	0memhg19	FalseDI26830XA
LP0030_03_L004	0.0105146802797019	0memhg19	FalseDI26830XA
LP0030_05_L004	0.00533104152577366	0memhg19	FalseDI26830XA
LP0025_05_L003	0.0127064931012914	0memhg19	FalseDI26830XA
LP0025_06_L003	0.0166953749636565	0memhg19	FalseDI26830XA
LP0025_10_L003	0.034579036999517	0memhg19	FalseDI26830XA
LP0025_11_L003	0.0078307528178803	0memhg19	FalseDI26830XA
LP0025_12_L003	0.0131670889443858	0memhg19	FalseDI26830XA
LP0025_15_L003	0.0379547378017542	0memhg19	FalseDI26830XA
LP0025_17_L003	0.0159149559660999	0memhg19	FalseDI26830XA
LP0025_21_L004	0.0639716903599071	0memhg19	FalseDI26830XA
LP0025_24_L003	0.00533172536658035	0memhg19	FalseDI26830XA
LP0026_05_L003	0.020076875	0memhg19	FalseDI26830XA
LP0026_07_L003	0.0078225520774632	0memhg19	FalseDI26830XA
LP0026_08_L003	0.212247114942666	0memhg19	FalseDI26830XA
LP0026_22_L003	0.0242496985976314	0memhg19	FalseDI26830XA
LP0026_26_L004	0.0756826214900114	0memhg19	FalseDI26830XA
LP0026_38_L004	0.0750170784590205	0memhg19	FalseDI26830XA
LP0026_42_L004	0.116137142019283	0memhg19	FalseDI26830XA
LP0027_26_L003	0.0698476070935335	0memhg19	FalseDI26830XA
LP0027_35_L003	0.0529730459266306	0memhg19	FalseDI26830XA
LP0027_39_L003	0.0285545483859138	0memhg19	FalseDI26830XA
LP0028_01_L004	0.0442993011839045	0memhg19	FalseDI26830XA
LP0020_01	0.013899375	0memhg19	True40
LP0020_02	0.0152398714854827	0memhg19	True40
LP0020_03	0.0169530295989164	0memhg19	True40
LP0020_04	0.0109195028178803	0memhg19	True40
LP0020_05	0.0152563509058181	0memhg19	True40
LP0020_06	0.0110541007344055	0memhg19	True40
LP0020_07	0.013899375	0memhg19	True40
LP0020_08	0.0131406359126731	0memhg19	True40
LP0025_01_L004	0.00473277848908282	0memhg19	True40
LP0025_02_L004	0.0117725371007534	0memhg19	True40
LP0025_03_L003	0.020076875	0memhg19	True40
LP0025_04_L004	0.0145655457516237	0memhg19	True40
LP0025_07_L004	0.00842047536658039	0memhg19	True40
LP0025_08_L004	0.0100183556908396	0memhg19	True40
LP0029_02_L004	0.00742729840779427	0memhg19	True40
LP0029_04_L003	0.00772187500000001	0memhg19	True40
LP0029_05_L004	0.0082608537022721	0memhg19	True40
LP0029_06_L003	0.00754188466273236	0memhg19	True40
LP0030_03_L004	0.004633125	0memhg19	True40
LP0030_05_L004	0.0124470662057808	0memhg19	True40
LP0025_05_L003	0.0140133891689572	0memhg19	True40
