sampleID	globlen_mean	ref_genome	settings
LP0020_01	136.7196310068785	0memhg19	False40
LP0020_02	135.75707949282415	0memhg19	False40
LP0020_03	137.04478268476169	0memhg19	False40
LP0020_04	137.84890465814735	0memhg19	False40
LP0020_05	136.35369602022948	0memhg19	False40
LP0020_06	134.38332149562555	0memhg19	False40
LP0020_07	135.6842509263486	0memhg19	False40
LP0020_08	135.11781320241334	0memhg19	False40
LP0025_01_L004	135.28364652653877	0memhg19	False40
LP0025_02_L004	131.09586320399606	0memhg19	False40
LP0025_03_L003	135.02659642534252	0memhg19	False40
LP0025_04_L004	136.97929783023758	0memhg19	False40
LP0025_05_L003	136.48687354944175	0memhg19	False40
LP0025_06_L003	136.81357250901328	0memhg19	False40
LP0025_07_L004	136.7428052107338	0memhg19	False40
LP0025_08_L004	136.53867454147982	0memhg19	False40
LP0025_10_L003	131.6604675918187	0memhg19	False40
LP0025_11_L003	137.1866384010988	0memhg19	False40
LP0025_12_L003	138.59004522266548	0memhg19	False40
LP0025_15_L003	135.4946236345399	0memhg19	False40
LP0025_17_L003	137.93870271240783	0memhg19	False40
LP0025_21_L004	136.39268484949412	0memhg19	False40
LP0025_24_L003	136.94015011584239	0memhg19	False40
LP0026_05_L003	137.43730718357475	0memhg19	False40
LP0026_07_L003	137.53199794518753	0memhg19	False40
LP0026_08_L003	133.9691579651414	0memhg19	False40
LP0026_22_L003	132.41569521967034	0memhg19	False40
LP0026_26_L004	136.01905531145863	0memhg19	False40
LP0026_38_L004	135.36806484749624	0memhg19	False40
LP0026_42_L004	134.10322725674112	0memhg19	False40
LP0027_26_L003	137.26782040659387	0memhg19	False40
LP0027_35_L003	138.13132693688297	0memhg19	False40
LP0027_39_L003	136.64444504389124	0memhg19	False40
LP0028_01_L004	133.89661157803602	0memhg19	False40
LP0029_02_L004	135.8927205220522	0memhg19	False40
LP0029_04_L003	137.24493151758398	0memhg19	False40
LP0029_05_L004	136.8475677001843	0memhg19	False40
LP0029_06_L003	136.4497259780675	0memhg19	False40
LP0030_03_L004	136.11665894330142	0memhg19	False40
LP0030_05_L004	136.15118768154156	0memhg19	False40
LP0020_01	137.08487983937087	0memhg19	FalseDI26830XA
LP0020_02	136.13515467333355	0memhg19	FalseDI26830XA
LP0020_03	137.45794778064894	0memhg19	FalseDI26830XA
LP0020_04	138.3238687532922	0memhg19	FalseDI26830XA
LP0020_05	136.67799525357015	0memhg19	FalseDI26830XA
LP0020_06	134.57867681172868	0memhg19	FalseDI26830XA
LP0020_07	135.89133839879705	0memhg19	FalseDI26830XA
LP0020_08	135.33795753802752	0memhg19	FalseDI26830XA
LP0025_01_L004	135.49231317571918	0memhg19	FalseDI26830XA
