sampleID	tMAD_vs_control	ref_genome	settings
LP0020_01	0.00924281023717264	0memhg19	False40
LP0020_02	0.0175990931520782	0memhg19	False40
LP0020_03	0.0216768028381661	0memhg19	False40
LP0020_04	0.0141842115158752	0memhg19	False40
LP0020_05	0.0156097945093745	0memhg19	False40
LP0020_06	0.0179893545350701	0memhg19	False40
LP0020_07	0.00993786232693153	0memhg19	False40
LP0020_08	0.0157916036716334	0memhg19	False40
LP0025_01_L004	0.00503851824354892	0memhg19	False40
LP0025_02_L004	0.00533275364417026	0memhg19	False40
LP0025_03_L003	0.00404945297619116	0memhg19	False40
LP0025_04_L004	0.00727225203810039	0memhg19	False40
LP0025_07_L004	0.0082336391662244	0memhg19	False40
LP0025_08_L004	0.00434174592540831	0memhg19	False40
LP0029_02_L004	0.00364017613700113	0memhg19	False40
LP0029_04_L003	0.00503623654009176	0memhg19	False40
LP0029_05_L004	0.00404214794247672	0memhg19	False40
LP0029_06_L003	0.0092415509847982	0memhg19	False40
LP0030_03_L004	0.00334423141670305	0memhg19	False40
LP0030_05_L004	0.00405128222065593	0memhg19	False40
LP0025_05_L003	0.0111004061681368	0memhg19	False40
LP0025_06_L003	0.00433900474841292	0memhg19	False40
LP0025_10_L003	0.0369564663514588	0memhg19	False40
LP0025_11_L003	0.00824322702962755	0memhg19	False40
LP0025_12_L003	0.0176305910792274	0memhg19	False40
LP0025_15_L003	0.0722679981854354	0memhg19	False40
LP0025_17_L003	0.0284888367143174	0memhg19	False40
LP0025_21_L004	0.173671732718684	0memhg19	False40
LP0025_24_L003	0.013899375	0memhg19	False40
LP0026_05_L003	0.026254375	0memhg19	False40
LP0026_07_L003	0.00812955293084365	0memhg19	False40
LP0026_08_L003	0.330081355668981	0memhg19	False40
LP0026_22_L003	0.0233414440549278	0memhg19	False40
LP0026_26_L004	0.0637032686265587	0memhg19	False40
LP0026_38_L004	0.0905778953594468	0memhg19	False40
LP0026_42_L004	0.0926801808391556	0memhg19	False40
LP0027_26_L003	0.075674375	0memhg19	False40
LP0027_35_L003	0.0524513562896005	0memhg19	False40
LP0027_39_L003	0.0668772319879932	0memhg19	False40
LP0028_01_L004	0.172589123777814	0memhg19	False40
LP0020_01	0.00853666053066995	0memhg19	FalseDI26830XA
LP0020_02	0.013749173258842	0memhg19	FalseDI26830XA
LP0020_03	0.0236710076862636	0memhg19	FalseDI26830XA
LP0020_04	0.0282764945022976	0memhg19	FalseDI26830XA
LP0020_05	0.0154127608972503	0memhg19	FalseDI26830XA
LP0020_06	0.0270680178131275	0memhg19	FalseDI26830XA
LP0020_07	0.00813413128039225	0memhg19	FalseDI26830XA
LP0020_08	0.01761134155464	0memhg19	FalseDI26830XA
LP0025_01_L004	0.003641546053641	0memhg19	FalseDI26830XA
LP0025_02_L004	0.00573906009037668	0memhg19	FalseDI26830XA
LP0025_03_L003	0.00364051844834812	0memhg19	FalseDI26830XA
LP0025_04_L004	0.00503908913540877	0memhg19	FalseDI26830XA
LP0025_07_L004	0.00584075439014354	0memhg19	FalseDI26830XA
LP0025_08_L004	0.00404945297619115	0memhg19	FalseDI26830XA
LP0029_02_L004	0.00294214640117728	0memhg19	FalseDI26830XA
LP0029_04_L003	0.0061528009847982	0memhg19	FalseDI26830XA
LP0029_05_L004	0.0036398339374384	0memhg19	FalseDI26830XA
LP0029_06_L003	0.00613270882688173	0memhg19	FalseDI26830XA
LP0030_03_L004	0.003641546053641	0memhg19	FalseDI26830XA
LP0030_05_L004	0.00405402833164115	0memhg19	FalseDI26830XA
LP0025_05_L003	0.0072121384847182	0memhg19	FalseDI26830XA
LP0025_06_L003	0.00684225601856212	0memhg19	FalseDI26830XA
LP0025_10_L003	0.0282678775791605	0memhg19	FalseDI26830XA
LP0025_11_L003	0.0113191973847082	0memhg19	FalseDI26830XA
LP0025_12_L003	0.020897379726358	0memhg19	FalseDI26830XA
LP0025_15_L003	0.0685010041957434	0memhg19	FalseDI26830XA
LP0025_17_L003	0.0273337053095868	0memhg19	FalseDI26830XA
LP0025_21_L004	0.168177323172207	0memhg19	FalseDI26830XA
LP0025_24_L003	0.00812783913540873	0memhg19	FalseDI26830XA
LP0026_05_L003	0.023165625	0memhg19	FalseDI26830XA
LP0026_07_L003	0.00923651809218913	0memhg19	FalseDI26830XA
LP0026_08_L003	0.323946091952837	0memhg19	FalseDI26830XA
LP0026_22_L003	0.0191549956598396	0memhg19	FalseDI26830XA
LP0026_26_L004	0.0658569855455373	0memhg19	FalseDI26830XA
LP0026_38_L004	0.0911989113129528	0memhg19	FalseDI26830XA
LP0026_42_L004	0.110593562584219	0memhg19	FalseDI26830XA
LP0027_26_L003	0.075674375	0memhg19	FalseDI26830XA
LP0027_35_L003	0.0572376509272836	0memhg19	FalseDI26830XA
LP0027_39_L003	0.039964853036978	0memhg19	FalseDI26830XA
LP0028_01_L004	0.205396505137534	0memhg19	FalseDI26830XA
LP0020_01	0.0123240108972503	0memhg19	True40
LP0020_02	0.0211548581610675	0memhg19	True40
LP0020_03	0.0211814395019891	0memhg19	True40
LP0020_04	0.0330638905091573	0memhg19	True40
LP0020_05	0.0177869464013696	0memhg19	True40
LP0020_06	0.0211268251478518	0memhg19	True40
LP0020_07	0.00574867935339298	0memhg19	True40
LP0020_08	0.0178847940651959	0memhg19	True40
LP0025_01_L004	0.00656185511549069	0memhg19	True40
LP0025_02_L004	0.00574111765370146	0memhg19	True40
LP0025_03_L003	0.00404214794247672	0memhg19	True40
LP0025_04_L004	0.00573700454361375	0memhg19	True40
LP0025_07_L004	0.00404397241162495	0memhg19	True40
LP0025_08_L004	0.00574043157501386	0memhg19	True40
LP0029_02_L004	0.00334263578798594	0memhg19	True40
LP0029_04_L003	0.00503680668654123	0memhg19	True40
LP0029_05_L004	0.00404123615456631	0memhg19	True40
LP0029_06_L003	0.00474611122737776	0memhg19	True40
LP0030_03_L004	0.00265099572060908	0memhg19	True40
LP0030_05_L004	0.00404032466423528	0memhg19	True40
LP0025_05_L003	0.00981664987344652	0memhg19	True40
LP0025_06_L003	0.0043367245346824	0memhg19	True40
LP0025_10_L003	0.0303470378968421	0memhg19	True40
LP0025_11_L003	0.0067316677623406	0memhg19	True40
LP0025_12_L003	0.0157144420188858	0memhg19	True40
LP0025_15_L003	0.0659838929169327	0memhg19	True40
LP0025_17_L003	0.0200237132074792	0memhg19	True40
LP0025_21_L004	0.169980414470544	0memhg19	True40
LP0025_24_L003	0.010810625	0memhg19	True40
LP0026_05_L003	0.0232495178537935	0memhg19	True40
LP0026_07_L003	0.00853095067550051	0memhg19	True40
LP0026_08_L003	0.329803433374068	0memhg19	True40
LP0026_22_L003	0.0134699521000163	0memhg19	True40
LP0026_26_L004	0.0708320808531219	0memhg19	True40
LP0026_38_L004	0.0931357706607197	0memhg19	True40
LP0026_42_L004	0.0882850386549188	0memhg19	True40
LP0027_26_L003	0.0512757514835909	0memhg19	True40
LP0027_35_L003	0.0617745684111521	0memhg19	True40
LP0027_39_L003	0.0477242764432558	0memhg19	True40
LP0028_01_L004	0.168347650707629	0memhg19	True40
LP0020_01	0.0109215563515941	0memhg19	TrueDI26830XA
LP0020_02	0.0226246377713815	0memhg19	TrueDI26830XA
LP0020_03	0.0343679340797509	0memhg19	TrueDI26830XA
LP0020_04	0.041698125	0memhg19	TrueDI26830XA
LP0020_05	0.0142291154148424	0memhg19	TrueDI26830XA
LP0020_06	0.0220344810141173	0memhg19	TrueDI26830XA
LP0020_07	0.0103629513450856	0memhg19	TrueDI26830XA
LP0020_08	0.0171864153961822	0memhg19	TrueDI26830XA
LP0025_01_L004	0.00384042155629168	0memhg19	TrueDI26830XA
LP0025_02_L004	0.0119138198089716	0memhg19	TrueDI26830XA
LP0025_03_L003	0.00224343200543535	0memhg19	TrueDI26830XA
LP0025_04_L004	0.00474713916895719	0memhg19	TrueDI26830XA
LP0025_07_L004	0.00713637492731292	0memhg19	TrueDI26830XA
LP0025_08_L004	0.00364223168376402	0memhg19	TrueDI26830XA
LP0029_02_L004	0.0036398339374384	0memhg19	TrueDI26830XA
LP0029_04_L003	0.00965060511549069	0memhg19	TrueDI26830XA
LP0029_05_L004	0.00513850768626358	0memhg19	TrueDI26830XA
LP0029_06_L003	0.00533189654088385	0memhg19	TrueDI26830XA
LP0030_03_L004	0.00404306002811488	0memhg19	TrueDI26830XA
LP0030_05_L004	0.00404762492731292	0memhg19	TrueDI26830XA
LP0025_05_L003	0.00821451968246003	0memhg19	TrueDI26830XA
LP0025_06_L003	0.00503566657976673	0memhg19	TrueDI26830XA
LP0025_10_L003	0.0303930751478517	0memhg19	TrueDI26830XA
LP0025_11_L003	0.0103493195858466	0memhg19	TrueDI26830XA
LP0025_12_L003	0.0137223547588343	0memhg19	TrueDI26830XA
LP0025_15_L003	0.0687863033252068	0memhg19	TrueDI26830XA
LP0025_17_L003	0.0325813246696309	0memhg19	TrueDI26830XA
LP0025_21_L004	0.172420431885551	0memhg19	TrueDI26830XA
LP0025_24_L003	0.010810625	0memhg19	TrueDI26830XA
LP0026_05_L003	0.0212095912732443	0memhg19	TrueDI26830XA
LP0026_07_L003	0.00503623654009176	0memhg19	TrueDI26830XA
LP0026_08_L003	0.338851421924256	0memhg19	TrueDI26830XA
LP0026_22_L003	0.0170663599708713	0memhg19	TrueDI26830XA
LP0026_26_L004	0.0686469969583557	0memhg19	TrueDI26830XA
LP0026_38_L004	0.0809157377940327	0memhg19	TrueDI26830XA
LP0026_42_L004	0.0933480877653508	0memhg19	TrueDI26830XA
LP0027_26_L003	0.069496875	0memhg19	TrueDI26830XA
LP0027_35_L003	0.0505584800431419	0memhg19	TrueDI26830XA
LP0027_39_L003	0.0465899174776258	0memhg19	TrueDI26830XA
LP0028_01_L004	0.170297643939619	0memhg19	TrueDI26830XA
LP0020_01	0.0120473985309532	0memhg19decoy	False40
LP0020_02	0.0148974195036984	0memhg19decoy	False40
LP0020_03	0.0251840567097441	0memhg19decoy	False40
LP0020_04	0.0168349356127447	0memhg19decoy	False40
LP0020_05	0.0166832603643216	0memhg19decoy	False40
LP0020_06	0.0204653264062442	0memhg19decoy	False40
LP0020_07	0.0134361247391618	0memhg19decoy	False40
LP0020_08	0.0183046207612856	0memhg19decoy	False40
LP0025_01_L004	0.00503908913540877	0memhg19decoy	False40
LP0025_02_L004	0.00545935828550322	0memhg19decoy	False40
LP0025_03_L003	0.0043426608464635	0memhg19decoy	False40
LP0025_04_L004	0.00516889413196674	0memhg19decoy	False40
LP0025_07_L004	0.00643937436477936	0memhg19decoy	False40
LP0025_08_L004	0.00545362972635798	0memhg19decoy	False40
LP0029_02_L004	0.00434220331113831	0memhg19decoy	False40
LP0029_04_L003	0.00643697505078684	0memhg19decoy	False40
LP0029_05_L004	0.00463312499999998	0memhg19decoy	False40
LP0029_06_L003	0.00615406023717263	0memhg19decoy	False40
LP0030_03_L004	0.00265305395678038	0memhg19decoy	False40
LP0030_05_L004	0.00335142465913676	0memhg19decoy	False40
LP0025_05_L003	0.0113954389519515	0memhg19decoy	False40
LP0025_06_L003	0.00543422252681689	0memhg19decoy	False40
LP0025_10_L003	0.0351957210170327	0memhg19decoy	False40
LP0025_11_L003	0.0082416277468553	0memhg19decoy	False40
LP0025_12_L003	0.0148351562524918	0memhg19decoy	False40
LP0025_15_L003	0.0666867400942703	0memhg19decoy	False40
LP0025_17_L003	0.0232813579654242	0memhg19decoy	False40
LP0025_21_L004	0.179193191254751	0memhg19decoy	False40
