,genome,setting,clf_name,fold,accuracy,f1,auc
0,0memhg38,False40,LR,0,0.7142857142857143,0.6666666666666666,0.75
1,0memhg38,False40,LR,1,0.7142857142857143,0.75,0.7083333333333334
2,0memhg38,False40,LR,2,0.6666666666666666,0.6666666666666666,0.75
3,0memhg38,False40,LR,3,1,1,1
4,0memhg38,False40,LR,4,0.8333333333333334,0.8571428571428571,0.875
5,0memhg38,FalseDI26830XA,LR,0,0.8571428571428571,0.8571428571428571,0.875
6,0memhg38,FalseDI26830XA,LR,1,0.7142857142857143,0.75,0.7083333333333334
7,0memhg38,FalseDI26830XA,LR,2,0.5,0.4,0.625
8,0memhg38,FalseDI26830XA,LR,3,1,1,1
9,0memhg38,FalseDI26830XA,LR,4,0.8333333333333334,0.8571428571428571,0.875
10,0memhg38,TrueDI26830XA,LR,0,0.7142857142857143,0.6666666666666666,0.75
11,0memhg38,TrueDI26830XA,LR,1,0.8571428571428571,0.8571428571428571,0.875
12,0memhg38,TrueDI26830XA,LR,2,0.8333333333333334,0.8571428571428571,0.875
13,0memhg38,TrueDI26830XA,LR,3,1,1,1
14,0memhg38,TrueDI26830XA,LR,4,0.8333333333333334,0.8571428571428571,0.875
15,0memhg38,FalseDI1230XA,LR,0,0.8571428571428571,0.8571428571428571,0.875
16,0memhg38,FalseDI1230XA,LR,1,0.7142857142857143,0.75,0.7083333333333334
17,0memhg38,FalseDI1230XA,LR,2,0.5,0.4,0.625
18,0memhg38,FalseDI1230XA,LR,3,1,1,1
19,0memhg38,FalseDI1230XA,LR,4,0.8333333333333334,0.8571428571428571,0.875
20,0memhg38,True40,LR,0,0.8571428571428571,0.8571428571428571,0.875
21,0memhg38,True40,LR,1,0.7142857142857143,0.6666666666666666,0.75
22,0memhg38,True40,LR,2,0.8333333333333334,0.8571428571428571,0.875
23,0memhg38,True40,LR,3,1,1,1
24,0memhg38,True40,LR,4,0.8333333333333334,0.8571428571428571,0.875
25,0memhg38,TrueDI1230XA,LR,0,0.5714285714285714,0.4,0.625
26,0memhg38,TrueDI1230XA,LR,1,0.8571428571428571,0.8571428571428571,0.875
27,0memhg38,TrueDI1230XA,LR,2,0.5,0.4,0.625
28,0memhg38,TrueDI1230XA,LR,3,1,1,1
29,0memhg38,TrueDI1230XA,LR,4,0.8333333333333334,0.8571428571428571,0.875
30,30memhg38,False40,LR,0,0.7142857142857143,0.6666666666666666,0.75
31,30memhg38,False40,LR,1,0.8571428571428571,0.8571428571428571,0.875
32,30memhg38,False40,LR,2,0.8333333333333334,0.8571428571428571,0.875
33,30memhg38,False40,LR,3,1,1,1
34,30memhg38,False40,LR,4,0.8333333333333334,0.8571428571428571,0.875
35,30memhg38,FalseDI26830XA,LR,0,0.8571428571428571,0.8571428571428571,0.875
36,30memhg38,FalseDI26830XA,LR,1,0.7142857142857143,0.6666666666666666,0.75
37,30memhg38,FalseDI26830XA,LR,2,0.5,0.4,0.625
38,30memhg38,FalseDI26830XA,LR,3,1,1,1
39,30memhg38,FalseDI26830XA,LR,4,0.8333333333333334,0.8571428571428571,0.875
40,30memhg38,TrueDI26830XA,LR,0,0.8571428571428571,0.8571428571428571,0.875
