ref_genome,setting,step,read_count,settings_verbose,gc_bias,trimming,genome,step_verbose,percent_loss,percent_remaining
0memhg19,False40,fastq,100884350.1,Lenient,GC bias not corrected,Untrimmed,hg19,Fastq,0,100
0memhg19,False40,mem_sorted.bam,99961747.5,Lenient,GC bias not corrected,Untrimmed,hg19,Alignment,-0.9145150849318924,99.08548491506811
0memhg19,False40,sortByCoord.bam,90193473.325,Lenient,GC bias not corrected,Untrimmed,hg19,Final,-10.59716077310587,89.40283922689413
0memhg19,False40,sorted.bam,99961747.5,Lenient,GC bias not corrected,Untrimmed,hg19,Filtering,-0.9145150849318924,99.08548491506811
0memhg19,False40,trimming,100884350.1,Lenient,GC bias not corrected,Untrimmed,hg19,Trimming,0,100
0memhg19,FalseDI26830XA,fastq,100884350.1,Strict,GC bias not corrected,Untrimmed,hg19,Fastq,0,100
0memhg19,FalseDI26830XA,mem_sorted.bam,99961747.5,Strict,GC bias not corrected,Untrimmed,hg19,Alignment,-0.9145150849318924,99.08548491506811
0memhg19,FalseDI26830XA,sortByCoord.bam,81379077.3,Strict,GC bias not corrected,Untrimmed,hg19,Final,-19.334289987164226,80.66571001283577
0memhg19,FalseDI26830XA,sorted.bam,89446386.05,Strict,GC bias not corrected,Untrimmed,hg19,Filtering,-11.337699096700632,88.66230090329937
0memhg19,FalseDI26830XA,trimming,100884350.1,Strict,GC bias not corrected,Untrimmed,hg19,Trimming,0,100
0memhg19,True40,fastq,100884350.1,Lenient,GC bias corrected,Untrimmed,hg19,Fastq,0,100
0memhg19,True40,mem_sorted.bam,99961747.5,Lenient,GC bias corrected,Untrimmed,hg19,Alignment,-0.9145150849318924,99.08548491506811
0memhg19,True40,sortByCoord.bam,90177058.75,Lenient,GC bias corrected,Untrimmed,hg19,Final,-10.61343145828522,89.38656854171478
0memhg19,True40,sorted.bam,99961747.5,Lenient,GC bias corrected,Untrimmed,hg19,Filtering,-0.9145150849318924,99.08548491506811
0memhg19,True40,trimming,100884350.1,Lenient,GC bias corrected,Untrimmed,hg19,Trimming,0,100
0memhg19,TrueDI26830XA,fastq,100884350.1,Strict,GC bias corrected,Untrimmed,hg19,Fastq,0,100
0memhg19,TrueDI26830XA,mem_sorted.bam,99961747.5,Strict,GC bias corrected,Untrimmed,hg19,Alignment,-0.9145150849318924,99.08548491506811
0memhg19,TrueDI26830XA,sortByCoord.bam,81375807,Strict,GC bias corrected,Untrimmed,hg19,Final,-19.337531619782908,80.66246838021709
0memhg19,TrueDI26830XA,sorted.bam,89446386.05,Strict,GC bias corrected,Untrimmed,hg19,Filtering,-11.337699096700632,88.66230090329937
0memhg19,TrueDI26830XA,trimming,100884350.1,Strict,GC bias corrected,Untrimmed,hg19,Trimming,0,100
0memhg19decoy,False40,fastq,100884350.1,Lenient,GC bias not corrected,Untrimmed,hg19decoy,Fastq,0,100
0memhg19decoy,False40,mem_sorted.bam,100058750.8,Lenient,GC bias not corrected,Untrimmed,hg19decoy,Alignment,-0.8183621138280017,99.181637886172
0memhg19decoy,False40,sortByCoord.bam,90949137.175,Lenient,GC bias not corrected,Untrimmed,hg19decoy,Final,-9.848121056587942,90.15187894341206
0memhg19decoy,False40,sorted.bam,100058750.8,Lenient,GC bias not corrected,Untrimmed,hg19decoy,Filtering,-0.8183621138280017,99.181637886172
0memhg19decoy,False40,trimming,100884350.1,Lenient,GC bias not corrected,Untrimmed,hg19decoy,Trimming,0,100
0memhg19decoy,FalseDI26830XA,fastq,100884350.1,Strict,GC bias not corrected,Untrimmed,hg19decoy,Fastq,0,100
0memhg19decoy,FalseDI26830XA,mem_sorted.bam,100058750.8,Strict,GC bias not corrected,Untrimmed,hg19decoy,Alignment,-0.8183621138280017,99.181637886172
0memhg19decoy,FalseDI26830XA,sortByCoord.bam,81861258.475,Strict,GC bias not corrected,Untrimmed,hg19decoy,Final,-18.85633560224521,81.14366439775479
0memhg19decoy,FalseDI26830XA,sorted.bam,89611687.925,Strict,GC bias not corrected,Untrimmed,hg19decoy,Filtering,-11.17384625447471,88.82615374552529
0memhg19decoy,FalseDI26830XA,trimming,100884350.1,Strict,GC bias not corrected,Untrimmed,hg19decoy,Trimming,0,100
0memhg19decoy,True40,fastq,100884350.1,Lenient,GC bias corrected,Untrimmed,hg19decoy,Fastq,0,100
0memhg19decoy,True40,mem_sorted.bam,100058750.8,Lenient,GC bias corrected,Untrimmed,hg19decoy,Alignment,-0.8183621138280017,99.181637886172
0memhg19decoy,True40,sortByCoord.bam,90950806.9,Lenient,GC bias corrected,Untrimmed,hg19decoy,Final,-9.84646596836231,90.15353403163769
0memhg19decoy,True40,sorted.bam,100058750.8,Lenient,GC bias corrected,Untrimmed,hg19decoy,Filtering,-0.8183621138280017,99.181637886172
0memhg19decoy,True40,trimming,100884350.1,Lenient,GC bias corrected,Untrimmed,hg19decoy,Trimming,0,100
0memhg19decoy,TrueDI26830XA,fastq,100884350.1,Strict,GC bias corrected,Untrimmed,hg19decoy,Fastq,0,100
0memhg19decoy,TrueDI26830XA,mem_sorted.bam,100058750.8,Strict,GC bias corrected,Untrimmed,hg19decoy,Alignment,-0.8183621138280017,99.181637886172
0memhg19decoy,TrueDI26830XA,sortByCoord.bam,81871751.525,Strict,GC bias corrected,Untrimmed,hg19decoy,Final,-18.84593453410173,81.15406546589827
0memhg19decoy,TrueDI26830XA,sorted.bam,89611687.925,Strict,GC bias corrected,Untrimmed,hg19decoy,Filtering,-11.17384625447471,88.82615374552529
0memhg19decoy,TrueDI26830XA,trimming,100884350.1,Strict,GC bias corrected,Untrimmed,hg19decoy,Trimming,0,100
0memhg38,False40,fastq,100884350.1,Lenient,GC bias not corrected,Untrimmed,hg38,Fastq,0,100
0memhg38,False40,mem_sorted.bam,100057562.6,Lenient,GC bias not corrected,Untrimmed,hg38,Alignment,-0.8195398980916764,99.18046010190832
