sampleID,phenotype,dip_depth_hemato,ref_genome,settings
LP0025_01_L004,healthy_control,0.184789378,0memhg19decoy,True40
LP0025_01_L004,healthy_control,0.177010303,0memhg19,TrueDI1230XA
LP0025_01_L004,healthy_control,0.175460545,0memhg19,FalseDI1230XA
LP0025_01_L004,healthy_control,0.177332523,0memhg19decoy,FalseDI1230XA
LP0025_01_L004,healthy_control,0.175577773,0memhg19,FalseDI26830XA
LP0025_01_L004,healthy_control,0.183721221,30memhg19,True40
LP0025_01_L004,healthy_control,0.177788647,30memhg19decoy,FalseDI1230XA
LP0025_01_L004,healthy_control,0.183505058,0memhg19,True40
LP0025_01_L004,healthy_control,0.180275042,30memhg19decoy,TrueDI26830XA
LP0025_01_L004,healthy_control,0.182295303,30memhg19,False40
LP0025_01_L004,healthy_control,0.178434421,0memhg19decoy,TrueDI1230XA
LP0025_01_L004,healthy_control,0.183726677,0memhg19decoy,False40
LP0025_01_L004,healthy_control,0.179642504,0memhg19decoy,TrueDI26830XA
LP0025_01_L004,healthy_control,0.182217701,0memhg19,False40
LP0025_01_L004,healthy_control,0.176629291,0memhg19decoy,FalseDI26830XA
LP0025_01_L004,healthy_control,0.177061945,30memhg19,FalseDI26830XA
LP0025_01_L004,healthy_control,0.1777465,30memhg19,TrueDI26830XA
LP0025_01_L004,healthy_control,0.178938196,30memhg19,TrueDI1230XA
LP0025_01_L004,healthy_control,0.183492298,30memhg19decoy,False40
LP0025_01_L004,healthy_control,0.177260675,0memhg19,TrueDI26830XA
LP0025_01_L004,healthy_control,0.186751898,30memhg19decoy,True40
LP0025_01_L004,healthy_control,0.178541602,30memhg19decoy,FalseDI26830XA
LP0025_01_L004,healthy_control,0.180010262,30memhg19decoy,TrueDI1230XA
LP0025_01_L004,healthy_control,0.175831821,30memhg19,FalseDI1230XA
LP0025_02_L004,healthy_control,0.042465924,30memhg19decoy,False40
LP0025_02_L004,healthy_control,0.034439702,0memhg19,FalseDI26830XA
LP0025_02_L004,healthy_control,0.03373757,0memhg19,TrueDI1230XA
LP0025_02_L004,healthy_control,0.034393676,30memhg19,TrueDI26830XA
LP0025_02_L004,healthy_control,0.035787613,0memhg19decoy,FalseDI26830XA
LP0025_02_L004,healthy_control,0.037427357,30memhg19decoy,FalseDI26830XA
LP0025_02_L004,healthy_control,0.032704641,0memhg19,TrueDI26830XA
LP0025_02_L004,healthy_control,0.037685489,30memhg19decoy,TrueDI26830XA
LP0025_02_L004,healthy_control,0.036973261,30memhg19decoy,FalseDI1230XA
LP0025_02_L004,healthy_control,0.036969182,30memhg19,FalseDI26830XA
LP0025_02_L004,healthy_control,0.036547715,30memhg19decoy,TrueDI1230XA
LP0025_02_L004,healthy_control,0.040673843,0memhg19,True40
LP0025_02_L004,healthy_control,0.044986134,30memhg19,False40
LP0025_02_L004,healthy_control,0.034442788,0memhg19decoy,TrueDI26830XA
LP0025_02_L004,healthy_control,0.043954006,30memhg19,True40
LP0025_02_L004,healthy_control,0.035672002,0memhg19decoy,FalseDI1230XA
LP0025_02_L004,healthy_control,0.038061416,30memhg19,FalseDI1230XA
LP0025_02_L004,healthy_control,0.042930142,30memhg19decoy,True40
LP0025_02_L004,healthy_control,0.040772509,0memhg19,False40
LP0025_02_L004,healthy_control,0.042631794,0memhg19decoy,False40
LP0025_02_L004,healthy_control,0.038960997,0memhg19decoy,True40
LP0025_02_L004,healthy_control,0.033603863,0memhg19,FalseDI1230XA
LP0025_02_L004,healthy_control,0.032009761,0memhg19decoy,TrueDI1230XA
LP0025_02_L004,healthy_control,0.036766941,30memhg19,TrueDI1230XA
LP0025_03_L003,healthy_control,0.166294631,0memhg19decoy,FalseDI1230XA
LP0025_03_L003,healthy_control,0.164745259,0memhg19decoy,TrueDI1230XA
LP0025_03_L003,healthy_control,0.165457229,0memhg19decoy,FalseDI26830XA
LP0025_03_L003,healthy_control,0.165486805,30memhg19,FalseDI26830XA
LP0025_03_L003,healthy_control,0.167252083,30memhg19,True40
LP0025_03_L003,healthy_control,0.165129078,30memhg19decoy,FalseDI26830XA
LP0025_03_L003,healthy_control,0.163344006,0memhg19,TrueDI1230XA
LP0025_03_L003,healthy_control,0.165649933,30memhg19decoy,False40
LP0025_03_L003,healthy_control,0.164686847,0memhg19,False40
LP0025_03_L003,healthy_control,0.164407664,0memhg19,FalseDI26830XA
LP0025_03_L003,healthy_control,0.169169084,30memhg19,False40
LP0025_03_L003,healthy_control,0.166367666,30memhg19decoy,TrueDI26830XA
LP0025_03_L003,healthy_control,0.163330921,30memhg19,TrueDI26830XA
LP0025_03_L003,healthy_control,0.166200088,30memhg19decoy,FalseDI1230XA
LP0025_03_L003,healthy_control,0.167160126,30memhg19decoy,True40
LP0025_03_L003,healthy_control,0.167641361,0memhg19,True40
LP0025_03_L003,healthy_control,0.16409222,0memhg19decoy,False40
LP0025_03_L003,healthy_control,0.160684275,0memhg19,TrueDI26830XA
LP0025_03_L003,healthy_control,0.169268473,0memhg19decoy,TrueDI26830XA
LP0025_03_L003,healthy_control,0.166396947,30memhg19decoy,TrueDI1230XA
LP0025_03_L003,healthy_control,0.168087107,30memhg19,TrueDI1230XA
LP0025_03_L003,healthy_control,0.166080261,0memhg19decoy,True40
LP0025_03_L003,healthy_control,0.165716149,30memhg19,FalseDI1230XA
LP0025_03_L003,healthy_control,0.165322522,0memhg19,FalseDI1230XA
LP0025_04_L004,healthy_control,0.129377953,0memhg19decoy,False40
LP0025_04_L004,healthy_control,0.126045659,30memhg19,TrueDI1230XA
LP0025_04_L004,healthy_control,0.122970468,0memhg19,FalseDI1230XA
LP0025_04_L004,healthy_control,0.123589683,0memhg19,TrueDI1230XA
LP0025_04_L004,healthy_control,0.131307515,0memhg19,True40
LP0025_04_L004,healthy_control,0.125529874,30memhg19,FalseDI1230XA
LP0025_04_L004,healthy_control,0.13031676,30memhg19decoy,False40
LP0025_04_L004,healthy_control,0.127496003,30memhg19decoy,TrueDI1230XA
LP0025_04_L004,healthy_control,0.124154872,0memhg19decoy,TrueDI26830XA
LP0025_04_L004,healthy_control,0.125279282,0memhg19decoy,FalseDI1230XA
LP0025_04_L004,healthy_control,0.124158126,30memhg19,FalseDI26830XA
LP0025_04_L004,healthy_control,0.122928426,0memhg19,FalseDI26830XA
LP0025_04_L004,healthy_control,0.122824647,0memhg19decoy,FalseDI26830XA
LP0025_04_L004,healthy_control,0.123742694,0memhg19,TrueDI26830XA
LP0025_04_L004,healthy_control,0.129301335,0memhg19decoy,True40
LP0025_04_L004,healthy_control,0.126453317,30memhg19,TrueDI26830XA
LP0025_04_L004,healthy_control,0.126282468,30memhg19decoy,FalseDI26830XA
LP0025_04_L004,healthy_control,0.128960947,0memhg19,False40
LP0025_04_L004,healthy_control,0.130894964,30memhg19decoy,True40
LP0025_04_L004,healthy_control,0.123929004,30memhg19decoy,FalseDI1230XA
LP0025_04_L004,healthy_control,0.124009237,0memhg19decoy,TrueDI1230XA
LP0025_04_L004,healthy_control,0.132088078,30memhg19,False40
LP0025_04_L004,healthy_control,0.131009585,30memhg19,True40
LP0025_04_L004,healthy_control,0.124000511,30memhg19decoy,TrueDI26830XA
LP0025_05_L003,lung_cancer,0.091773766,30memhg19decoy,False40
LP0025_05_L003,lung_cancer,0.094551369,0memhg19,True40
LP0025_05_L003,lung_cancer,0.087134476,0memhg19decoy,FalseDI1230XA
LP0025_05_L003,lung_cancer,0.08978326,30memhg19,False40
LP0025_05_L003,lung_cancer,0.083955364,0memhg19decoy,TrueDI26830XA
LP0025_05_L003,lung_cancer,0.082180476,30memhg19decoy,FalseDI26830XA
LP0025_05_L003,lung_cancer,0.090136711,0memhg19decoy,TrueDI1230XA
LP0025_05_L003,lung_cancer,0.092094263,30memhg19,True40
LP0025_05_L003,lung_cancer,0.09170616,0memhg19,False40
LP0025_05_L003,lung_cancer,0.087929174,0memhg19,TrueDI1230XA
LP0025_05_L003,lung_cancer,0.081262605,30memhg19,FalseDI26830XA
LP0025_05_L003,lung_cancer,0.085573259,0memhg19,TrueDI26830XA
LP0025_05_L003,lung_cancer,0.08210113,30memhg19,TrueDI26830XA
LP0025_05_L003,lung_cancer,0.089055724,0memhg19decoy,FalseDI26830XA
LP0025_05_L003,lung_cancer,0.081278508,30memhg19,FalseDI1230XA
LP0025_05_L003,lung_cancer,0.085438389,30memhg19decoy,TrueDI26830XA
LP0025_05_L003,lung_cancer,0.094619924,0memhg19decoy,False40
LP0025_05_L003,lung_cancer,0.085442578,30memhg19decoy,TrueDI1230XA
LP0025_05_L003,lung_cancer,0.084810131,30memhg19decoy,FalseDI1230XA
LP0025_05_L003,lung_cancer,0.084225081,0memhg19,FalseDI1230XA
LP0025_05_L003,lung_cancer,0.084004374,0memhg19,FalseDI26830XA
LP0025_05_L003,lung_cancer,0.077605934,30memhg19,TrueDI1230XA
LP0025_05_L003,lung_cancer,0.090409823,30memhg19decoy,True40
LP0025_05_L003,lung_cancer,0.093440993,0memhg19decoy,True40
LP0025_06_L003,lung_cancer,0.121465543,30memhg19decoy,FalseDI26830XA
LP0025_06_L003,lung_cancer,0.120966075,0memhg19,True40
LP0025_06_L003,lung_cancer,0.118430716,0memhg19,TrueDI26830XA
LP0025_06_L003,lung_cancer,0.120205314,0memhg19decoy,FalseDI1230XA
LP0025_06_L003,lung_cancer,0.126383579,30memhg19decoy,False40
LP0025_06_L003,lung_cancer,0.118370938,0memhg19decoy,TrueDI26830XA
LP0025_06_L003,lung_cancer,0.123905767,30memhg19decoy,True40
LP0025_06_L003,lung_cancer,0.119254896,30memhg19,TrueDI1230XA
LP0025_06_L003,lung_cancer,0.126368296,0memhg19decoy,False40
LP0025_06_L003,lung_cancer,0.122000919,30memhg19decoy,FalseDI1230XA
LP0025_06_L003,lung_cancer,0.118312505,0memhg19,FalseDI1230XA
LP0025_06_L003,lung_cancer,0.121781771,30memhg19,FalseDI26830XA
LP0025_06_L003,lung_cancer,0.116160066,0memhg19,TrueDI1230XA
LP0025_06_L003,lung_cancer,0.126390645,30memhg19,True40
LP0025_06_L003,lung_cancer,0.1265204,0memhg19,False40
LP0025_06_L003,lung_cancer,0.121204276,0memhg19decoy,TrueDI1230XA
LP0025_06_L003,lung_cancer,0.126636164,0memhg19decoy,True40
LP0025_06_L003,lung_cancer,0.119039473,0memhg19decoy,FalseDI26830XA
LP0025_06_L003,lung_cancer,0.125061452,30memhg19,False40
LP0025_06_L003,lung_cancer,0.124609815,30memhg19decoy,TrueDI1230XA
LP0025_06_L003,lung_cancer,0.118633798,0memhg19,FalseDI26830XA
LP0025_06_L003,lung_cancer,0.119433773,30memhg19decoy,TrueDI26830XA
LP0025_06_L003,lung_cancer,0.118076107,30memhg19,TrueDI26830XA
LP0025_06_L003,lung_cancer,0.119865744,30memhg19,FalseDI1230XA
LP0025_07_L004,healthy_control,0.144534955,30memhg19,True40
LP0025_07_L004,healthy_control,0.144203334,0memhg19,True40
LP0025_07_L004,healthy_control,0.134655972,0memhg19decoy,FalseDI26830XA
LP0025_07_L004,healthy_control,0.136430595,0memhg19,TrueDI26830XA
LP0025_07_L004,healthy_control,0.135404282,0memhg19,TrueDI1230XA
LP0025_07_L004,healthy_control,0.135915001,0memhg19,FalseDI26830XA
LP0025_07_L004,healthy_control,0.135299607,0memhg19decoy,TrueDI26830XA
LP0025_07_L004,healthy_control,0.145196726,30memhg19decoy,True40
LP0025_07_L004,healthy_control,0.133722003,30memhg19,FalseDI26830XA
LP0025_07_L004,healthy_control,0.143631603,0memhg19decoy,False40
LP0025_07_L004,healthy_control,0.143329967,0memhg19,False40
LP0025_07_L004,healthy_control,0.133034005,30memhg19decoy,FalseDI26830XA
LP0025_07_L004,healthy_control,0.146018542,30memhg19,False40
LP0025_07_L004,healthy_control,0.134417306,0memhg19,FalseDI1230XA
