sampleID,phenotype,tmad_vs_control,tmad_vs_none,ref_genome,settings
LP0020_01,healthy_control,0.004745084,0.009817334,0memhg19decoy,True40
LP0020_01,healthy_control,0.003347426,0.007426386,0memhg19decoy,TrueDI1230XA
LP0020_01,healthy_control,0.006142742,0.010475938,0memhg19decoy,TrueDI26830XA
LP0020_01,healthy_control,0.003348225,0.006429791,0memhg19,TrueDI1230XA
LP0020_01,healthy_control,0.006142742,0.007427298,0memhg19,TrueDI26830XA
LP0020_01,healthy_control,0.005737005,0.007550801,0memhg19decoy,False40
LP0020_01,healthy_control,0.004048539,0.006844997,0memhg19decoy,FalseDI1230XA
LP0020_01,healthy_control,0.004048539,0.006844997,0memhg19decoy,FalseDI26830XA
LP0020_01,healthy_control,0.004338092,0.007721875,30memhg19decoy,TrueDI1230XA
LP0020_01,healthy_control,0.004339005,0.009118278,30memhg19decoy,TrueDI26830XA
LP0020_01,healthy_control,0.003640861,0.008825755,0memhg19,FalseDI26830XA
LP0020_01,healthy_control,0.004040325,0.007546341,30memhg19,False40
LP0020_01,healthy_control,0.004633125,0.008537804,0memhg19,False40
LP0020_01,healthy_control,0.004339918,0.008123277,0memhg19,FalseDI1230XA
LP0020_01,healthy_control,0.004047625,0.007721875,30memhg19decoy,FalseDI1230XA
LP0020_01,healthy_control,0.005435361,0.01101301,0memhg19,True40
LP0020_01,healthy_control,0.004736875,0.008244827,30memhg19,TrueDI26830XA
LP0020_01,healthy_control,0.003342636,0.008246427,30memhg19decoy,False40
LP0020_01,healthy_control,0.003640861,0.007256681,30memhg19,FalseDI26830XA
LP0020_01,healthy_control,0.004048539,0.006556365,30memhg19decoy,FalseDI26830XA
LP0020_01,healthy_control,0.005035097,0.009625029,30memhg19decoy,True40
LP0020_01,healthy_control,0.004041236,0.007721875,30memhg19,FalseDI1230XA
LP0020_01,healthy_control,0.00363915,0.009078851,30memhg19,True40
LP0020_01,healthy_control,0.004043972,0.007133635,30memhg19,TrueDI1230XA
LP0020_02,healthy_control,0.005035667,0.0106247,0memhg19decoy,TrueDI1230XA
LP0020_02,healthy_control,0.008534375,0.011327181,0memhg19decoy,FalseDI26830XA
