sampleID,phenotype,ref_genome,settings,gc_bias,settings_verbose,trimming,genome,value
LP0020_01,healthy_control,30memhg19,False40,GC bias not corrected,Lenient,Trimmed,hg19,169.4552177
LP0020_01,healthy_control,0memhg38noalt,True40,GC bias corrected,Lenient,Untrimmed,hg38noalt,169.5046776
LP0020_01,healthy_control,0memhg38noalt,False40,GC bias not corrected,Lenient,Untrimmed,hg38noalt,169.5714668
LP0020_01,healthy_control,30memhg19,True40,GC bias corrected,Lenient,Trimmed,hg19,169.3679674
LP0020_01,healthy_control,30memhg19,FalseDI26830XA,GC bias not corrected,Strict,Trimmed,hg19,169.5577396
LP0020_01,healthy_control,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19,169.4263294
LP0020_01,healthy_control,0memhg38noalt,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg38noalt,169.5323751
LP0020_01,healthy_control,0memhg38,True40,GC bias corrected,Lenient,Untrimmed,hg38,169.5715914
LP0020_01,healthy_control,30memhg19decoy,TrueDI26830XA,GC bias corrected,Strict,Trimmed,hg19decoy,169.5813118
LP0020_01,healthy_control,0memhg19decoy,True40,GC bias corrected,Lenient,Untrimmed,hg19decoy,169.6233657
LP0020_01,healthy_control,0memhg19decoy,False40,GC bias not corrected,Lenient,Untrimmed,hg19decoy,169.7074969
LP0020_01,healthy_control,0memhg19,True40,GC bias corrected,Lenient,Untrimmed,hg19,169.3481952
LP0020_01,healthy_control,30memhg19decoy,False40,GC bias not corrected,Lenient,Trimmed,hg19decoy,169.7357748
LP0020_01,healthy_control,0memhg19,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg19,169.5537003
LP0020_01,healthy_control,30memhg19,TrueDI26830XA,GC bias corrected,Strict,Trimmed,hg19,169.4872914
LP0020_01,healthy_control,30memhg38,False40,GC bias not corrected,Lenient,Trimmed,hg38,169.6721637
LP0020_01,healthy_control,0memhg38,False40,GC bias not corrected,Lenient,Untrimmed,hg38,169.6434993
LP0020_01,healthy_control,0memhg38,FalseDI26830XA,GC bias not corrected,Strict,Untrimmed,hg38,169.6302736
LP0020_01,healthy_control,0memhg19,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19,169.4867883
LP0020_01,healthy_control,30memhg19decoy,FalseDI26830XA,GC bias not corrected,Strict,Trimmed,hg19decoy,169.6593915
LP0020_01,healthy_control,30memhg19decoy,True40,GC bias corrected,Lenient,Trimmed,hg19decoy,169.6497146
LP0020_01,healthy_control,0memhg38,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg38,169.5508409
LP0020_01,healthy_control,0memhg19decoy,TrueDI26830XA,GC bias corrected,Strict,Untrimmed,hg19decoy,169.5770273
