sampleID,phenotype,file_name,G1_amplitude,G1_sigma,G2_amplitude,G2_sigma,G3_amplitude,G3_sigma,Baysian Information Criterion,Total dip depth,Intercept,Total dip area (AOC combined model),region-set,is control,Dip area: z-score vs controls in same region set,Dip area: Prediction interval of controls,Dip area: interpretation vs controls in same region set,Dip depth: z-score vs controls in same region set,Dip depth: Prediction interval of controls,Dip depth: interpretation vs controls in same region set,ref_genome,settings
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/TrueDI1230XA/summary_across_samples_and_ROIS.csv,-27.920279313665727,149.0000000001113,-126.85118981968608,757.9999999947017,-412.8341181768601,6078.001766276939,-852.1827270248515,0.16861573622464682,0.01084291965978625,-572.7125463490653,hematopoietic_specific_liquorice_hg38,healthy_control,-1,"(-681.3195521002971, -282.89234310994743)",N/A,0.7,"(0.05527544585941055, 0.22735403032213872)",N/A,0memhg38,TrueDI1230XA
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/30memhg38noalt/FalseDI26830XA/summary_across_samples_and_ROIS.csv,-27.69536443976909,149.0000000002194,-126.1508999626706,757.9999999948102,-408.2631764629661,6078.002515338776,-855.0662498526647,0.16734493899431316,0.01083501218208575,-567.1795843659401,hematopoietic_specific_liquorice_hg38,healthy_control,-1.02,"(-669.3603194170521, -288.5828089541338)",N/A,0.64,"(0.05742537813949114, 0.22735744738612143)",N/A,30memhg38noalt,FalseDI26830XA
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/30memhg38noalt/TrueDI26830XA/summary_across_samples_and_ROIS.csv,-27.970022426903768,149.0000000001148,-128.90938513098894,757.9999999937122,-410.6977287856488,6078.000019765477,-854.3386934329582,0.16969194998287113,0.01087990790687726,-572.7132098527662,hematopoietic_specific_liquorice_hg38,healthy_control,-1.01,"(-681.4822088165606, -277.4285656407602)",N/A,0.68,"(0.05736331293548649, 0.2286327336088376)",N/A,30memhg38noalt,TrueDI26830XA
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38noalt/FalseDI26830XA/summary_across_samples_and_ROIS.csv,-27.69536443976909,149.0000000002194,-126.1508999626706,757.9999999948102,-408.2631764629661,6078.002515338776,-855.0662498526647,0.16734493899431316,0.01083501218208575,-567.1795843659401,hematopoietic_specific_liquorice_hg38,healthy_control,-1.02,"(-669.3603194170521, -288.5828089541338)",N/A,0.64,"(0.05742537813949114, 0.22735744738612143)",N/A,0memhg38noalt,FalseDI26830XA
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38noalt/TrueDI1230XA/summary_across_samples_and_ROIS.csv,-28.054902363787264,149.00000000010402,-127.954542029317,757.9999999946333,-408.9336304604086,6078.0034269978505,-853.2261397803958,0.16930086508892175,0.01097724777929057,-570.0856369992459,hematopoietic_specific_liquorice_hg38,healthy_control,-0.98,"(-676.9642862071934, -290.7781101057302)",N/A,0.69,"(0.057864530205383194, 0.22722235913474015)",N/A,0memhg38noalt,TrueDI1230XA
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38noalt/False40/summary_across_samples_and_ROIS.csv,-31.09490459317443,149.00000000024428,-124.56182219476467,757.9999999973463,-384.9021784428126,6078.000028150189,-860.0681630254683,0.17407740580451556,0.01015285226159176,-546.1746940987517,hematopoietic_specific_liquorice_hg38,healthy_control,-0.76,"(-676.7752043822488, -277.24682790754423)",N/A,0.69,"(0.06471423357887114, 0.2309442777492191)",N/A,0memhg38noalt,False40
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/TrueDI26830XA/summary_across_samples_and_ROIS.csv,-27.931221356727463,149.00000000010354,-128.0098727488533,757.9999999951126,-410.8561939543607,6078.001690280751,-850.1613196440587,0.16912503369895615,0.01090325482400647,-571.9188023965296,hematopoietic_specific_liquorice_hg38,healthy_control,-1.01,"(-681.1866593795176, -277.13502072213475)",N/A,0.68,"(0.05522061965271734, 0.22927973121503842)",N/A,0memhg38,TrueDI26830XA
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/True40/summary_across_samples_and_ROIS.csv,-30.36240410574884,149.00000000015785,-128.0821830967563,757.9999999989869,-386.3114665942007,6078.001924695172,-852.8672967382172,0.1740614529776152,0.01004298700415998,-550.2874996212871,hematopoietic_specific_liquorice_hg38,healthy_control,-0.78,"(-681.6857189742025, -272.7923878640041)",N/A,0.72,"(0.0626941903344038, 0.23046541082986235)",N/A,0memhg38,True40
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/30memhg38/TrueDI26830XA/summary_across_samples_and_ROIS.csv,-27.970022426903768,149.0000000001148,-128.90938513098894,757.9999999937122,-410.6977287856488,6078.000019765477,-854.3386934329582,0.16969194998287113,0.01087990790687726,-572.7132098527662,hematopoietic_specific_liquorice_hg38,healthy_control,-1.01,"(-681.4822088165606, -277.4285656407602)",N/A,0.68,"(0.05736331293548649, 0.2286327336088376)",N/A,30memhg38,TrueDI26830XA
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/30memhg38noalt/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-28.17912664373641,149.00000000012662,-125.47039867138884,757.9999999940994,-410.7393269029313,6078.0015123709445,-856.9859968412317,0.1684445731065215,0.01089265944790984,-569.5261055253306,hematopoietic_specific_liquorice_hg38,healthy_control,-1,"(-677.0049045169608, -280.73400851054373)",N/A,0.68,"(0.05810908254921153, 0.22674770204183847)",N/A,30memhg38noalt,FalseDI1230XA
