sampleID,phenotype,file_name,G1_amplitude,G1_sigma,G2_amplitude,G2_sigma,G3_amplitude,G3_sigma,Baysian Information Criterion,Total dip depth,Intercept,Total dip area (AOC combined model),region-set,is control,Dip area: z-score vs controls in same region set,Dip area: Prediction interval of controls,Dip area: interpretation vs controls in same region set,Dip depth: z-score vs controls in same region set,Dip depth: Prediction interval of controls,Dip depth: interpretation vs controls in same region set,ref_genome,settings
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19decoy/True40/summary_across_samples_and_ROIS.csv,-33.96605734380057,149.0000000001123,-141.76216970241146,757.999999997662,-293.062446335572,6078.014253620543,-846.0803714911988,0.184789377792448,0.0117096621033345,-475.1169929184634,hematopoietic_specific_liquorice_hg19.no_chr,healthy_control,-0.82,"(-607.8767261234292, -182.78014593250103)",N/A,0.8,"(0.0651350386049574, 0.2402653632135871)",N/A,0memhg19decoy,True40
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/TrueDI1230XA/summary_across_samples_and_ROIS.csv,-31.08699494041943,149.00000000010837,-138.03385924398123,757.9999999963397,-321.88384289590823,6078.011407551394,-840.6640231044929,0.1770103033264296,0.0126932069401142,-496.81229895698016,hematopoietic_specific_liquorice_hg19.no_chr,healthy_control,-1.1,"(-609.0098245146559, -160.62998649904208)",N/A,0.75,"(0.06070551934893963, 0.23410021042904627)",N/A,0memhg19,TrueDI1230XA
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-30.624902482111985,149.0000000000906,-138.44904081089123,757.9999999958212,-313.79362972828886,6078.016950485793,-842.6868709369675,0.17546054480855822,0.01241272005278268,-488.61517788347186,hematopoietic_specific_liquorice_hg19.no_chr,healthy_control,-1.15,"(-584.5656108239742, -179.77708518582676)",N/A,0.7,"(0.0590801942976988, 0.2357680979992215)",N/A,0memhg19,FalseDI1230XA
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19decoy/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-31.477095737170945,149.0000000002517,-137.77765905249078,757.9999999963397,-312.9345763431108,6078.0168516981885,-840.5919815733045,0.17733252289416124,0.0123563562501344,-488.06572967805255,hematopoietic_specific_liquorice_hg19.no_chr,healthy_control,-1.02,"(-601.4989806182534, -178.12518595775163)",N/A,0.76,"(0.061188822634086246, 0.23388273258275877)",N/A,0memhg19decoy,FalseDI1230XA
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI26830XA/summary_across_samples_and_ROIS.csv,-31.143813501185623,149.00000001523475,-135.27843466843802,757.9999999952972,-319.83545935560915,6078.012812634773,-843.3131701460185,0.1755777734370282,0.01246312860471582,-492.0511207193212,hematopoietic_specific_liquorice_hg19.no_chr,healthy_control,-1.07,"(-599.718540499293, -178.3624976955733)",N/A,0.7,"(0.060510248386759447, 0.23487633800350693)",N/A,0memhg19,FalseDI26830XA
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/30memhg19/True40/summary_across_samples_and_ROIS.csv,-33.741294408125526,149.0000000001113,-140.61153492263225,757.9999999964909,-295.1833842212181,6078.0091650611275,-852.0527271174019,0.183721221426299,0.01198870239593709,-475.81426847281614,hematopoietic_specific_liquorice_hg19.no_chr,healthy_control,-0.88,"(-599.1178079130093, -186.70018453678387)",N/A,0.78,"(0.06891317082194677, 0.23840825915243707)",N/A,30memhg19,True40
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/30memhg19decoy/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-30.103707499838013,149.00000000006742,-144.1440957142292,757.9999999958002,-324.8581510807839,6078.021607681533,-844.0433436156628,0.17778864741225495,0.01276617390444309,-504.8118932129523,hematopoietic_specific_liquorice_hg19.no_chr,healthy_control,-1.33,"(-579.2070570012909, -201.14701121347588)",N/A,0.75,"(0.062066248115919334, 0.2346787587107731)",N/A,30memhg19decoy,FalseDI1230XA
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/True40/summary_across_samples_and_ROIS.csv,-33.574718541644174,149.000000000092,-143.50271226395364,757.9999999973345,-275.50322755420626,6078.032358318496,-845.7902604816617,0.18350505782256504,0.0112604790980706,-458.88067737701726,hematopoietic_specific_liquorice_hg19.no_chr,healthy_control,-0.83,"(-593.6119202956644, -160.3077530713349)",N/A,0.78,"(0.06661951439053813, 0.23900401656645598)",N/A,0memhg19,True40
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/30memhg19decoy/TrueDI26830XA/summary_across_samples_and_ROIS.csv,-31.20439382265811,149.00000000005957,-141.91473381877688,757.9999999955194,-335.7152671741797,6078.0072542738035,-845.4800621057644,0.18027504229860888,0.01311452795818968,-514.6810421146955,hematopoietic_specific_liquorice_hg19.no_chr,healthy_control,-1.31,"(-602.9832496230983, -165.33855894371993)",N/A,0.83,"(0.06270512300826926, 0.23309409929414954)",N/A,30memhg19decoy,TrueDI26830XA
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/30memhg19/False40/summary_across_samples_and_ROIS.csv,-33.19258879333338,149.0000000000807,-141.4287657041764,757.9999999965132,-289.2893941774743,6078.01884142457,-851.3209440730957,0.1822953032255821,0.01179959257282597,-470.1164773456141,hematopoietic_specific_liquorice_hg19.no_chr,healthy_control,-0.87,"(-594.8921617599872, -180.1348907163547)",N/A,0.71,"(0.07016110923417691, 0.23986365088495615)",N/A,30memhg19,False40
