sampleID,phenotype,file_name,G1_amplitude,G1_sigma,G2_amplitude,G2_sigma,G3_amplitude,G3_sigma,Baysian Information Criterion,Total dip depth,Intercept,Total dip area (AOC combined model),region-set,is control,Dip area: z-score vs controls in same region set,Dip area: Prediction interval of controls,Dip area: interpretation vs controls in same region set,Dip depth: z-score vs controls in same region set,Dip depth: Prediction interval of controls,Dip depth: interpretation vs controls in same region set,ref_genome,settings
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/TrueDI1230XA/summary_across_samples_and_ROIS.csv,-4.903201254410853,149.99999999999974,-4.292567568021139,757.0000000002024,164.84589553428282,6078.982686721469,-722.8448359654504,0.00448457344991858,-0.00661925090683477,154.66175629028572,SAEC_hg19.no_chr,healthy_control,-0.28,"(3.6959417326676487, 349.87296093586326)",N/A,1.63,"(-0.08441418348747659, 0.017698871759703784)",N/A,0memhg19,TrueDI1230XA
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-4.803652872009257,150,-5.748975308008919,757.0000000020531,173.27439658476342,6078.996241867793,-725.618404907921,0.00443423868512304,-0.0066248329534685,161.72627091778324,SAEC_hg19.no_chr,healthy_control,-0.12,"(2.80070518926712, 339.17786641259283)",N/A,1.62,"(-0.08744747712006905, 0.018149864748418662)",N/A,0memhg19,FalseDI1230XA
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/30memhg19/True40/summary_across_samples_and_ROIS.csv,-8.218338756516834,149.99999953986642,-3.801075458389093,757.0000000001654,180.7618866122397,6078.999987594641,-729.3530536960608,0.01199806868836799,-0.00652434087209784,167.22206158965224,SAEC_hg19.no_chr,healthy_control,-0.26,"(31.692092012904084, 339.59989505494656)",N/A,1.36,"(-0.08165649426673266, 0.03411642724955199)",N/A,30memhg19,True40
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19decoy/FalseDI26830XA/summary_across_samples_and_ROIS.csv,-4.206447511871058,149.99999999999991,-7.674453095168407,757.0000000035228,184.40180641512225,6078.988822617542,-721.6989122330065,0.00313037134199836,-0.00712094197097306,171.58891838302705,SAEC_hg19.no_chr,healthy_control,-0.09,"(33.17876306333565, 321.2881034597963)",N/A,1.62,"(-0.08777347206826042, 0.016893310693690516)",N/A,0memhg19decoy,FalseDI26830XA
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19decoy/True40/summary_across_samples_and_ROIS.csv,-8.416634902362047,149.99999999999932,-3.5046179599977445,757.0000000160277,192.55432378941904,6078.9861646375,-727.0166377104056,0.01159530289822172,-0.00754820806097816,179.07141202012843,SAEC_hg19.no_chr,healthy_control,-0.18,"(56.332832148522016, 323.10273076202117)",N/A,1.43,"(-0.08465163672251964, 0.03175624973199283)",N/A,0memhg19decoy,True40
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19decoy/False40/summary_across_samples_and_ROIS.csv,-7.572238421545308,149.9999999999977,-7.390433910637643,757.0000000159273,194.5355499945741,6078.995991698276,-730.8019843324503,0.01126737480546759,-0.00637655793720024,178.10535046023963,SAEC_hg19.no_chr,healthy_control,-0.13,"(37.152947803056065, 336.20916138800715)",N/A,1.49,"(-0.08022198612784213, 0.02872624278410914)",N/A,0memhg19decoy,False40
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/False40/summary_across_samples_and_ROIS.csv,-7.115538874031611,149.99999999684778,-8.02491696795307,757.0000000000052,180.7619416856524,6078.999982294184,-733.1032721363024,0.01129102440864046,-0.00651920773138835,164.2347239095121,SAEC_hg19.no_chr,healthy_control,-0.31,"(27.1386624680608, 346.8432267613184)",N/A,1.44,"(-0.0812155684521266, 0.030571088790355472)",N/A,0memhg19,False40
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/30memhg19decoy/TrueDI1230XA/summary_across_samples_and_ROIS.csv,-3.9275294376592327,149.9999999999972,-2.112072415935174,757.0000000055535,155.09103366514594,6078.99075895342,-716.501131164405,0.00138072214106179,-0.00622916258601738,148.2466939495648,SAEC_hg19.no_chr,healthy_control,-0.54,"(35.24533221871303, 334.9804913615891)",N/A,1.33,"(-0.09236564995790725, 0.02451551459023065)",N/A,30memhg19decoy,TrueDI1230XA
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/FalseDI26830XA/summary_across_samples_and_ROIS.csv,-3.696663896814009,149.99999999999918,-5.296398991527936,757.0000000010713,166.57101269732402,6078.990913584288,-725.0847268193257,0.00169147313822779,-0.00622231375292083,156.7673342718777,SAEC_hg19.no_chr,healthy_control,-0.27,"(24.60682338887824, 326.13631132572027)",N/A,1.56,"(-0.0871209653435287, 0.016726935171748662)",N/A,0memhg19,FalseDI26830XA
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/30memhg19decoy/TrueDI26830XA/summary_across_samples_and_ROIS.csv,-4.23097513208285,149.99999999999818,-5.119680400940758,757.0000000052166,179.3999593168673,6078.993421203026,-720.7995072587047,0.00217749127624559,-0.00703201830799963,169.1425739524366,SAEC_hg19.no_chr,healthy_control,-0.1,"(29.349294672234095, 322.43762106978977)",N/A,1.49,"(-0.09496073745342026, 0.0207241068623115)",N/A,30memhg19decoy,TrueDI26830XA
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19decoy/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-3.774737930306895,149.99999999999991,-4.836108229327652,757.0000000047446,163.3736529424821,6078.999983234187,-719.731201681456,0.00186639200872497,-0.0067479556048741,153.94772579762062,SAEC_hg19.no_chr,healthy_control,-0.29,"(13.066200183062676, 337.57566013873986)",N/A,1.5,"(-0.0893571486187584, 0.019068855648463355)",N/A,0memhg19decoy,FalseDI1230XA
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19decoy/TrueDI1230XA/summary_across_samples_and_ROIS.csv,-4.36703770188055,149.99999999999798,-4.223152696592517,757.0000000063437,182.5192508479345,6078.999974642738,-721.1810678016216,0.00186219648286354,-0.00729670936441325,173.00588429052414,SAEC_hg19.no_chr,healthy_control,-0.08,"(17.353451421160685, 341.1373510345018)",N/A,1.67,"(-0.08255997492013142, 0.01334181032994635)",N/A,0memhg19decoy,TrueDI1230XA
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg19/TrueDI26830XA/summary_across_samples_and_ROIS.csv,-3.9557142663453018,149.99999999999966,-4.396874580230565,757.0000000057931,167.65507048864234,6078.997203913899,-722.5316162892221,0.00183526276001423,-0.00671515698655212,158.45842322924412,SAEC_hg19.no_chr,healthy_control,-0.19,"(-2.55594515431315, 349.680040288456)",N/A,1.45,"(-0.08996882174333204, 0.020631068609801698)",N/A,0memhg19,TrueDI26830XA
