sampleID,phenotype,ref_genome,settings,value,feature
LP0025_01_L004,healthy_control,0memhg19,False40,0.983719318,coverage
LP0025_02_L004,healthy_control,0memhg19,False40,0.975392146,coverage
LP0025_03_L003,healthy_control,0memhg19,False40,0.994009027,coverage
LP0025_04_L004,healthy_control,0memhg19,False40,0.99070237,coverage
LP0025_05_L003,lung_cancer,0memhg19,False40,0.985662024,coverage
LP0025_06_L003,lung_cancer,0memhg19,False40,0.993763732,coverage
LP0025_07_L004,healthy_control,0memhg19,False40,0.98630989,coverage
LP0025_08_L004,healthy_control,0memhg19,False40,0.990295506,coverage
LP0025_10_L003,lung_cancer,0memhg19,False40,0.619115372,coverage
LP0025_11_L003,lung_cancer,0memhg19,False40,0.989127861,coverage
LP0025_12_L003,lung_cancer,0memhg19,False40,0.976679483,coverage
LP0025_15_L003,lung_cancer,0memhg19,False40,0.984552841,coverage
LP0025_17_L003,lung_cancer,0memhg19,False40,0.978443373,coverage
LP0025_21_L004,lung_cancer,0memhg19,False40,0.974510751,coverage
LP0025_24_L003,lung_cancer,0memhg19,False40,0.984183849,coverage
LP0026_05_L003,lung_cancer,0memhg19,False40,0.94972776,coverage
LP0026_07_L003,lung_cancer,0memhg19,False40,0.973103551,coverage
LP0026_08_L003,lung_cancer,0memhg19,False40,0.9355779,coverage
LP0026_22_L003,lung_cancer,0memhg19,False40,0.978445463,coverage
LP0026_26_L004,lung_cancer,0memhg19,False40,0.783272885,coverage
LP0026_38_L004,lung_cancer,0memhg19,False40,0.975504936,coverage
LP0026_42_L004,lung_cancer,0memhg19,False40,0.978220897,coverage
LP0027_26_L003,lung_cancer,0memhg19,False40,0.970715967,coverage
LP0027_35_L003,lung_cancer,0memhg19,False40,0.980360626,coverage
LP0027_39_L003,lung_cancer,0memhg19,False40,0.97172313,coverage
LP0028_01_L004,lung_cancer,0memhg19,False40,0.98901611,coverage
LP0029_02_L004,healthy_control,0memhg19,False40,0.994032605,coverage
LP0029_04_L003,healthy_control,0memhg19,False40,0.985848017,coverage
LP0029_05_L004,healthy_control,0memhg19,False40,0.989561426,coverage
LP0029_06_L003,healthy_control,0memhg19,False40,0.988811829,coverage
LP0030_03_L004,healthy_control,0memhg19,False40,0.987343833,coverage
LP0030_05_L004,healthy_control,0memhg19,False40,0.9910122,coverage
LP0025_01_L004,healthy_control,0memhg19,FalseDI1230XA,0.969076746,coverage
LP0025_02_L004,healthy_control,0memhg19,FalseDI1230XA,0.936474475,coverage
LP0025_03_L003,healthy_control,0memhg19,FalseDI1230XA,0.979614397,coverage
LP0025_04_L004,healthy_control,0memhg19,FalseDI1230XA,0.986352594,coverage
LP0025_05_L003,lung_cancer,0memhg19,FalseDI1230XA,0.969825649,coverage
LP0025_06_L003,lung_cancer,0memhg19,FalseDI1230XA,0.982836288,coverage
LP0025_07_L004,healthy_control,0memhg19,FalseDI1230XA,0.979827553,coverage
LP0025_08_L004,healthy_control,0memhg19,FalseDI1230XA,0.990815775,coverage
LP0025_10_L003,lung_cancer,0memhg19,FalseDI1230XA,0.444042575,coverage
LP0025_11_L003,lung_cancer,0memhg19,FalseDI1230XA,0.991025074,coverage
LP0025_12_L003,lung_cancer,0memhg19,FalseDI1230XA,0.974325436,coverage
LP0025_15_L003,lung_cancer,0memhg19,FalseDI1230XA,0.97837321,coverage
LP0025_17_L003,lung_cancer,0memhg19,FalseDI1230XA,0.973844545,coverage
LP0025_21_L004,lung_cancer,0memhg19,FalseDI1230XA,0.942475157,coverage
LP0025_24_L003,lung_cancer,0memhg19,FalseDI1230XA,0.977930888,coverage
LP0026_05_L003,lung_cancer,0memhg19,FalseDI1230XA,0.887014306,coverage
LP0026_07_L003,lung_cancer,0memhg19,FalseDI1230XA,0.953893642,coverage
LP0026_08_L003,lung_cancer,0memhg19,FalseDI1230XA,0.817077994,coverage
LP0026_22_L003,lung_cancer,0memhg19,FalseDI1230XA,0.946986758,coverage
LP0026_26_L004,lung_cancer,0memhg19,FalseDI1230XA,0.616261021,coverage
LP0026_38_L004,lung_cancer,0memhg19,FalseDI1230XA,0.947392998,coverage
LP0026_42_L004,lung_cancer,0memhg19,FalseDI1230XA,0.933559838,coverage
LP0027_26_L003,lung_cancer,0memhg19,FalseDI1230XA,0.935020945,coverage
LP0027_35_L003,lung_cancer,0memhg19,FalseDI1230XA,0.942869941,coverage
LP0027_39_L003,lung_cancer,0memhg19,FalseDI1230XA,0.923833133,coverage
LP0028_01_L004,lung_cancer,0memhg19,FalseDI1230XA,0.970872026,coverage
LP0029_02_L004,healthy_control,0memhg19,FalseDI1230XA,0.991372383,coverage
LP0029_04_L003,healthy_control,0memhg19,FalseDI1230XA,0.973299244,coverage
