sampleID,phenotype,value,ref_genome,settings,gc_bias,settings_verbose,trimming,genome
LP0025_01_L004,healthy_control,0.983719318,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19
LP0025_02_L004,healthy_control,0.975392146,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19
LP0025_03_L003,healthy_control,0.994009027,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19
LP0025_04_L004,healthy_control,0.99070237,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19
LP0025_05_L003,lung_cancer,0.985662024,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19
LP0025_06_L003,lung_cancer,0.993763732,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19
LP0025_07_L004,healthy_control,0.98630989,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19
LP0025_08_L004,healthy_control,0.990295506,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19
LP0025_10_L003,lung_cancer,0.619115372,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19
LP0025_11_L003,lung_cancer,0.989127861,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19
LP0025_12_L003,lung_cancer,0.976679483,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19
LP0025_15_L003,lung_cancer,0.984552841,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19
LP0025_17_L003,lung_cancer,0.978443373,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19
LP0025_21_L004,lung_cancer,0.974510751,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19
LP0025_24_L003,lung_cancer,0.984183849,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19
LP0026_05_L003,lung_cancer,0.94972776,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19
LP0026_07_L003,lung_cancer,0.973103551,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19
LP0026_08_L003,lung_cancer,0.9355779,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19
LP0026_22_L003,lung_cancer,0.978445463,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19
LP0026_26_L004,lung_cancer,0.783272885,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19
LP0026_38_L004,lung_cancer,0.975504936,0memhg19,False40,GC bias not corrected,Lenient,Untrimmed,hg19
