sampleID	dip_depth	ref_genome	settings
LP0025_11_L003	0.33	0memhg19	False40
LP0025_06_L003	-0.11	0memhg19	False40
LP0030_05_L004	0.11	0memhg19	False40
LP0030_03_L004	-1.75	0memhg19	False40
LP0020_03	0.26	0memhg19	False40
LP0020_06	0.26	0memhg19	False40
LP0025_07_L004	-0.51	0memhg19	False40
LP0025_12_L003	0.29	0memhg19	False40
LP0025_17_L003	1.01	0memhg19	False40
LP0026_22_L003	-1.17	0memhg19	False40
LP0025_05_L003	-1.55	0memhg19	False40
LP0027_39_L003	0.2	0memhg19	False40
LP0025_03_L003	-0.72	0memhg19	False40
LP0020_07	-0.12	0memhg19	False40
LP0026_05_L003	0.38	0memhg19	False40
LP0025_01_L004	-0.14	0memhg19	False40
LP0025_21_L004	0.27	0memhg19	False40
LP0027_26_L003	-1.32	0memhg19	False40
LP0020_08	0.99	0memhg19	False40
LP0027_35_L003	-1.23	0memhg19	False40
LP0026_42_L004	-1.09	0memhg19	False40
LP0026_38_L004	-1.06	0memhg19	False40
LP0025_02_L004	-1.64	0memhg19	False40
LP0026_08_L003	-0.38	0memhg19	False40
LP0025_10_L003	-1.44	0memhg19	False40
LP0029_02_L004	1.11	0memhg19	False40
LP0020_02	-1.52	0memhg19	False40
LP0029_04_L003	0.75	0memhg19	False40
LP0020_05	0.59	0memhg19	False40
LP0026_26_L004	-1.13	0memhg19	False40
LP0025_15_L003	0.75	0memhg19	False40
LP0029_06_L003	0.11	0memhg19	False40
LP0025_24_L003	0.19	0memhg19	False40
LP0025_04_L004	-0.03	0memhg19	False40
LP0026_07_L003	0.71	0memhg19	False40
LP0029_05_L004	-0.4	0memhg19	False40
LP0020_01	2.37	0memhg19	False40
LP0025_08_L004	0.27	0memhg19	False40
LP0020_04.sortByCoord	0.85	0memhg19	False40
LP0028_01_L004	0.53	0memhg19	False40
LP0025_11_L003	0.51	0memhg19	FalseDI26830XA
LP0025_06_L003	-0.05	0memhg19	FalseDI26830XA
LP0030_05_L004	0.21	0memhg19	FalseDI26830XA
LP0030_03_L004	-1.89	0memhg19	FalseDI26830XA
LP0020_03	0.07	0memhg19	FalseDI26830XA
LP0020_06	0.23	0memhg19	FalseDI26830XA
LP0025_07_L004	-0.49	0memhg19	FalseDI26830XA
LP0025_12_L003	0.28	0memhg19	FalseDI26830XA
LP0025_17_L003	0.77	0memhg19	FalseDI26830XA
