sampleID	globlen_mean	ref_genome	settings
LP0020_01	169.41762188885312	0memhg19	False40
LP0020_02	172.8579434664506	0memhg19	False40
LP0020_03	173.03712197228225	0memhg19	False40
LP0020_04	171.0038085524657	0memhg19	False40
LP0020_05	169.30541425576695	0memhg19	False40
LP0020_06	167.6884701062011	0memhg19	False40
LP0020_07	167.083103117256	0memhg19	False40
LP0020_08	169.10901832528867	0memhg19	False40
LP0025_01_L004	169.59021883822768	0memhg19	False40
LP0025_02_L004	175.37834357054686	0memhg19	False40
LP0025_03_L003	168.35424866878307	0memhg19	False40
LP0025_04_L004	170.33858626369556	0memhg19	False40
LP0025_05_L003	171.96345966064533	0memhg19	False40
LP0025_06_L003	168.24097388916525	0memhg19	False40
LP0025_07_L004	166.1841934236847	0memhg19	False40
LP0025_08_L004	170.07139043172884	0memhg19	False40
LP0025_10_L003	145.37421291617676	0memhg19	False40
LP0025_11_L003	165.91627032447533	0memhg19	False40
LP0025_12_L003	168.4893687960517	0memhg19	False40
LP0025_15_L003	164.93987828374685	0memhg19	False40
LP0025_17_L003	167.25645820439277	0memhg19	False40
LP0025_21_L004	168.86767065685044	0memhg19	False40
LP0025_24_L003	170.98625518869972	0memhg19	False40
LP0026_05_L003	169.12034005173777	0memhg19	False40
LP0026_07_L003	171.08592726798574	0memhg19	False40
LP0026_08_L003	156.15308598045485	0memhg19	False40
LP0026_22_L003	164.30198993647988	0memhg19	False40
LP0026_26_L004	161.42360377007614	0memhg19	False40
LP0026_38_L004	163.94699747520048	0memhg19	False40
LP0026_42_L004	164.69223666526455	0memhg19	False40
LP0027_26_L003	163.12461398230312	0memhg19	False40
LP0027_35_L003	164.82781108719817	0memhg19	False40
LP0027_39_L003	166.4131518463518	0memhg19	False40
LP0028_01_L004	164.03218931190128	0memhg19	False40
LP0029_02_L004	168.26212428587868	0memhg19	False40
LP0029_04_L003	169.32582457354894	0memhg19	False40
LP0029_05_L004	167.65534162061834	0memhg19	False40
LP0029_06_L003	165.86064857016203	0memhg19	False40
LP0030_03_L004	167.42688639532318	0memhg19	False40
LP0030_05_L004	168.64180008724261	0memhg19	False40
LP0020_01	169.55370031494996	0memhg19	FalseDI26830XA
LP0020_02	173.08486779826418	0memhg19	FalseDI26830XA
LP0020_03	173.19346201591898	0memhg19	FalseDI26830XA
LP0020_04	171.1876115362274	0memhg19	FalseDI26830XA
LP0020_05	169.434579834152	0memhg19	FalseDI26830XA
LP0020_06	167.79118577308898	0memhg19	FalseDI26830XA
LP0020_07	167.16871915303912	0memhg19	FalseDI26830XA
LP0020_08	169.23757014108207	0memhg19	FalseDI26830XA
LP0025_01_L004	169.65540280949253	0memhg19	FalseDI26830XA
LP0025_02_L004	175.49463682476144	0memhg19	FalseDI26830XA
LP0025_03_L003	168.47985701239088	0memhg19	FalseDI26830XA
LP0025_04_L004	170.41484411910199	0memhg19	FalseDI26830XA
LP0025_05_L003	172.09550388133735	0memhg19	FalseDI26830XA
LP0025_06_L003	168.3436424561292	0memhg19	FalseDI26830XA
LP0025_07_L004	166.23675737340122	0memhg19	FalseDI26830XA
