sample	tumor_fraction
	sample_id
LP0020_01	0.00417	0memhg19-False40
LP0020_02	0.01168	0memhg19-False40
LP0020_03	0.01227	0memhg19-False40
LP0020_04	0.01583	0memhg19-False40
LP0020_05	0.0161	0memhg19-False40
LP0020_06	0.01047	0memhg19-False40
LP0020_07	0.01556	0memhg19-False40
LP0020_08	0.01709	0memhg19-False40
LP0025_01_L004	0.003413	0memhg19-False40
LP0025_02_L004	0.01609	0memhg19-False40
LP0025_03_L003	0.006941	0memhg19-False40
LP0025_04_L004	0.003059	0memhg19-False40
LP0025_05_L003	0.01135	0memhg19-False40
LP0025_06_L003	0	0memhg19-False40
LP0025_07_L004	0.01143	0memhg19-False40
LP0025_08_L004	0.003121	0memhg19-False40
LP0025_10_L003	0.006943	0memhg19-False40
LP0025_11_L003	0.0129	0memhg19-False40
LP0025_12_L003	0.017	0memhg19-False40
LP0025_15_L003	0.07509	0memhg19-False40
LP0025_17_L003	0.03254	0memhg19-False40
LP0025_21_L004	0.1093	0memhg19-False40
LP0025_24_L003	0.009208	0memhg19-False40
LP0026_05_L003	0.02648	0memhg19-False40
LP0026_07_L003	0.02193	0memhg19-False40
LP0026_08_L003	0.2467	0memhg19-False40
LP0026_22_L003	0.2246	0memhg19-False40
LP0026_26_L004	0.4413	0memhg19-False40
LP0026_38_L004	0.154	0memhg19-False40
LP0026_42_L004	0.1316	0memhg19-False40
LP0027_26_L003	0.1163	0memhg19-False40
LP0027_35_L003	0.1676	0memhg19-False40
LP0027_39_L003	0.1369	0memhg19-False40
LP0028_01_L004	0.1031	0memhg19-False40
LP0029_02_L004	0.009433	0memhg19-False40
LP0029_04_L003	0.01387	0memhg19-False40
LP0029_05_L004	0.006767	0memhg19-False40
LP0029_06_L003	0.006778	0memhg19-False40
LP0030_03_L004	0.007436	0memhg19-False40
LP0030_05_L004	0.006587	0memhg19-False40
LP0020_01	0.00423	0memhg19-FalseDI26830XA
LP0020_02	0.01094	0memhg19-FalseDI26830XA
LP0020_03	0.01154	0memhg19-FalseDI26830XA
LP0020_04	0.02271	0memhg19-FalseDI26830XA
LP0020_05	0.009516	0memhg19-FalseDI26830XA
LP0020_06	0.009816	0memhg19-FalseDI26830XA
LP0020_07	0.01519	0memhg19-FalseDI26830XA
LP0020_08	0.01868	0memhg19-FalseDI26830XA
