settings_verbose,genome,trimming,gc_bias,rule,s,csum,groups,coloring
Lenient,hg19,Trimmed,GC bias corrected,trim,2264.62211,2264.62211,Lenient_hg19_Trimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg19,Trimmed,GC bias corrected,bwaMem,29737.46331,32002.08542,Lenient_hg19_Trimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg19,Trimmed,GC bias corrected,filterBams,1753.1092775,33755.194697499996,Lenient_hg19_Trimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg19,Trimmed,GC bias corrected,CorrectGCBias,5399.368225,39154.5629225,Lenient_hg19_Trimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg19,Trimmed,GC bias corrected,sortByCoord,971.558395,40126.1213175,Lenient_hg19_Trimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg19,Trimmed,GC bias not corrected,trim,2264.62211,2264.62211,Lenient_hg19_Trimmed_GC bias not corrected,Lenient_GC bias not corrected
Lenient,hg19,Trimmed,GC bias not corrected,bwaMem,29737.46331,32002.08542,Lenient_hg19_Trimmed_GC bias not corrected,Lenient_GC bias not corrected
Lenient,hg19,Trimmed,GC bias not corrected,filterBams,2158.2491025,34160.3345225,Lenient_hg19_Trimmed_GC bias not corrected,Lenient_GC bias not corrected
Lenient,hg19,Trimmed,GC bias not corrected,sortByCoord,1265.9035575,35426.238079999996,Lenient_hg19_Trimmed_GC bias not corrected,Lenient_GC bias not corrected
Lenient,hg19,Untrimmed,GC bias corrected,trim,2479.494905,2479.494905,Lenient_hg19_Untrimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg19,Untrimmed,GC bias corrected,bwaMem,31625.1143725,34104.6092775,Lenient_hg19_Untrimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg19,Untrimmed,GC bias corrected,filterBams,2200.179125,36304.7884025,Lenient_hg19_Untrimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg19,Untrimmed,GC bias corrected,CorrectGCBias,8130.3702525,44435.158655,Lenient_hg19_Untrimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg19,Untrimmed,GC bias corrected,sortByCoord,1142.16761,45577.326265,Lenient_hg19_Untrimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg19,Untrimmed,GC bias not corrected,trim,2479.494905,2479.494905,Lenient_hg19_Untrimmed_GC bias not corrected,Lenient_GC bias not corrected
Lenient,hg19,Untrimmed,GC bias not corrected,bwaMem,31625.1143725,34104.6092775,Lenient_hg19_Untrimmed_GC bias not corrected,Lenient_GC bias not corrected
Lenient,hg19,Untrimmed,GC bias not corrected,filterBams,1943.0647275,36047.674005,Lenient_hg19_Untrimmed_GC bias not corrected,Lenient_GC bias not corrected
Lenient,hg19,Untrimmed,GC bias not corrected,sortByCoord,1183.5630425,37231.2370475,Lenient_hg19_Untrimmed_GC bias not corrected,Lenient_GC bias not corrected
Lenient,hg19decoy,Trimmed,GC bias corrected,trim,1748.029735,1748.029735,Lenient_hg19decoy_Trimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg19decoy,Trimmed,GC bias corrected,bwaMem,29769.6163425,31517.6460775,Lenient_hg19decoy_Trimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg19decoy,Trimmed,GC bias corrected,filterBams,3075.6069625,34593.25304,Lenient_hg19decoy_Trimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg19decoy,Trimmed,GC bias corrected,CorrectGCBias,8326.161945,42919.414985,Lenient_hg19decoy_Trimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg19decoy,Trimmed,GC bias corrected,sortByCoord,1214.4552325,44133.8702175,Lenient_hg19decoy_Trimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg19decoy,Trimmed,GC bias not corrected,trim,1748.029735,1748.029735,Lenient_hg19decoy_Trimmed_GC bias not corrected,Lenient_GC bias not corrected
Lenient,hg19decoy,Trimmed,GC bias not corrected,bwaMem,29769.6163425,31517.6460775,Lenient_hg19decoy_Trimmed_GC bias not corrected,Lenient_GC bias not corrected
Lenient,hg19decoy,Trimmed,GC bias not corrected,filterBams,1737.3206325,33254.96671,Lenient_hg19decoy_Trimmed_GC bias not corrected,Lenient_GC bias not corrected
Lenient,hg19decoy,Trimmed,GC bias not corrected,sortByCoord,1236.2238750000001,34491.190585000004,Lenient_hg19decoy_Trimmed_GC bias not corrected,Lenient_GC bias not corrected
Lenient,hg19decoy,Untrimmed,GC bias corrected,trim,2133.1387825,2133.1387825,Lenient_hg19decoy_Untrimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg19decoy,Untrimmed,GC bias corrected,bwaMem,32533.506980000002,34666.645762500004,Lenient_hg19decoy_Untrimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg19decoy,Untrimmed,GC bias corrected,filterBams,2045.186245,36711.8320075,Lenient_hg19decoy_Untrimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg19decoy,Untrimmed,GC bias corrected,CorrectGCBias,6188.15476,42899.986767500006,Lenient_hg19decoy_Untrimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg19decoy,Untrimmed,GC bias corrected,sortByCoord,992.4067475,43892.393515,Lenient_hg19decoy_Untrimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg19decoy,Untrimmed,GC bias not corrected,trim,2133.1387825,2133.1387825,Lenient_hg19decoy_Untrimmed_GC bias not corrected,Lenient_GC bias not corrected
Lenient,hg19decoy,Untrimmed,GC bias not corrected,bwaMem,32533.506980000002,34666.645762500004,Lenient_hg19decoy_Untrimmed_GC bias not corrected,Lenient_GC bias not corrected
Lenient,hg19decoy,Untrimmed,GC bias not corrected,filterBams,1934.76774,36601.4135025,Lenient_hg19decoy_Untrimmed_GC bias not corrected,Lenient_GC bias not corrected
Lenient,hg19decoy,Untrimmed,GC bias not corrected,sortByCoord,1164.2712375,37765.684740000004,Lenient_hg19decoy_Untrimmed_GC bias not corrected,Lenient_GC bias not corrected
Lenient,hg38,Trimmed,GC bias corrected,trim,3889.2228638888887,3889.2228638888887,Lenient_hg38_Trimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg38,Trimmed,GC bias corrected,bwaMem,35669.77202222222,39558.99488611111,Lenient_hg38_Trimmed_GC bias corrected,Lenient_GC bias corrected
Lenient,hg38,Trimmed,GC bias corrected,filterBams,815.0464925,40374.04137861111,Lenient_hg38_Trimmed_GC bias corrected,Lenient_GC bias corrected
