sampleID	FrEIA_score	ref_genome	settings
LP0020_01	0.5698823518506232	0memhg19	False40
LP0020_02	0.9831444818291347	0memhg19	False40
LP0020_03	1.0606294579796325	0memhg19	False40
LP0020_04	1.013177963765842	0memhg19	False40
LP0020_05	0.6944452850549346	0memhg19	False40
LP0020_06	1.8648997149486604	0memhg19	False40
LP0020_07	0.6084766418369514	0memhg19	False40
LP0020_08	1.0024891311688242	0memhg19	False40
LP0025_01_L004	3.339333210256576	0memhg19	False40
LP0025_02_L004	1.6958197399455968	0memhg19	False40
LP0025_03_L003	3.164319131518038	0memhg19	False40
LP0025_04_L004	1.656681075262347	0memhg19	False40
LP0025_05_L003	2.7904080386630787	0memhg19	False40
LP0025_06_L003	5.038788753874023	0memhg19	False40
LP0025_07_L004	5.02860463705689	0memhg19	False40
LP0025_08_L004	1.4400516836564032	0memhg19	False40
LP0025_10_L003	4.991356819686484	0memhg19	False40
LP0025_11_L003	8.18073385588131	0memhg19	False40
LP0025_12_L003	5.885787914766346	0memhg19	False40
LP0025_15_L003	6.9495012706014405	0memhg19	False40
LP0025_17_L003	4.954488312376362	0memhg19	False40
LP0025_21_L004	5.900917098525123	0memhg19	False40
LP0025_24_L003	4.279856441824719	0memhg19	False40
LP0026_05_L003	4.827312932892308	0memhg19	False40
LP0026_07_L003	3.7025500091597174	0memhg19	False40
LP0026_08_L003	4.658623729166573	0memhg19	False40
LP0026_22_L003	4.773330289049746	0memhg19	False40
LP0026_26_L004	5.0253365603652895	0memhg19	False40
LP0026_38_L004	5.117734401871149	0memhg19	False40
LP0026_42_L004	4.76748832164418	0memhg19	False40
LP0027_26_L003	5.12918797229379	0memhg19	False40
LP0027_35_L003	3.96703296578743	0memhg19	False40
LP0027_39_L003	3.4257730571352205	0memhg19	False40
LP0028_01_L004	5.790018533271505	0memhg19	False40
LP0029_02_L004	3.792404539120673	0memhg19	False40
LP0029_04_L003	5.141675659783195	0memhg19	False40
LP0029_05_L004	4.185350474452798	0memhg19	False40
LP0029_06_L003	5.169130636153402	0memhg19	False40
LP0030_03_L004	4.3854230866171084	0memhg19	False40
LP0030_05_L004	4.15732322796512	0memhg19	False40
LP0020_01	0.7087485317569076	0memhg19	FalseDI26830XA
LP0020_02	0.9314278757111966	0memhg19	FalseDI26830XA
LP0020_03	1.2388192848937414	0memhg19	FalseDI26830XA
LP0020_04	1.191049088667745	0memhg19	FalseDI26830XA
LP0020_05	0.6293639258663615	0memhg19	FalseDI26830XA
LP0020_06	1.7089939848628621	0memhg19	FalseDI26830XA
LP0020_07	0.6927905556159526	0memhg19	FalseDI26830XA
LP0020_08	0.895601787210054	0memhg19	FalseDI26830XA
LP0025_01_L004	3.5030457645203046	0memhg19	FalseDI26830XA
LP0025_02_L004	1.703838022123609	0memhg19	FalseDI26830XA
LP0025_03_L003	3.5544010433388555	0memhg19	FalseDI26830XA
LP0025_04_L004	1.5247590242332678	0memhg19	FalseDI26830XA
LP0025_05_L003	2.8120064850654893	0memhg19	FalseDI26830XA
LP0025_06_L003	7.342952126523139	0memhg19	FalseDI26830XA
LP0025_07_L004	5.471976782602629	0memhg19	FalseDI26830XA
LP0025_08_L004	1.4632060283601447	0memhg19	FalseDI26830XA
LP0025_10_L003	5.073862120571333	0memhg19	FalseDI26830XA
LP0025_11_L003	10.52207805191993	0memhg19	FalseDI26830XA
LP0025_12_L003	7.1420441084120005	0memhg19	FalseDI26830XA
LP0025_15_L003	7.901204899182425	0memhg19	FalseDI26830XA
LP0025_17_L003	6.245524454643035	0memhg19	FalseDI26830XA
LP0025_21_L004	8.046680782248329	0memhg19	FalseDI26830XA
LP0025_24_L003	5.3935511861476	0memhg19	FalseDI26830XA
LP0026_05_L003	5.88249752421943	0memhg19	FalseDI26830XA
LP0026_07_L003	4.075935115405732	0memhg19	FalseDI26830XA
LP0026_08_L003	4.851466494018558	0memhg19	FalseDI26830XA
LP0026_22_L003	5.014087061888602	0memhg19	FalseDI26830XA
LP0026_26_L004	5.113002656758453	0memhg19	FalseDI26830XA
LP0026_38_L004	6.128120883978807	0memhg19	FalseDI26830XA
LP0026_42_L004	5.2244200886029954	0memhg19	FalseDI26830XA
LP0027_26_L003	5.602372796159537	0memhg19	FalseDI26830XA
LP0027_35_L003	4.07234493396275	0memhg19	FalseDI26830XA
LP0027_39_L003	3.6325306448363692	0memhg19	FalseDI26830XA
