sample	tumor_fraction
	sample_id
LP0020_01	0.0196	0memhg19-False40
LP0020_02	0.02543	0memhg19-False40
LP0020_03	0.03074	0memhg19-False40
LP0020_04	0	0memhg19-False40
LP0020_05	0.02122	0memhg19-False40
LP0020_06	0.02602	0memhg19-False40
LP0020_07	0	0memhg19-False40
LP0020_08	0.02048	0memhg19-False40
LP0025_01_L004	0.003191	0memhg19-False40
LP0025_02_L004	0.01046	0memhg19-False40
LP0025_03_L003	0.006119	0memhg19-False40
LP0025_04_L004	0.00434	0memhg19-False40
LP0025_05_L003	0.02146	0memhg19-False40
LP0025_06_L003	0.0112	0memhg19-False40
LP0025_07_L004	0.01183	0memhg19-False40
LP0025_08_L004	0.003859	0memhg19-False40
LP0025_10_L003	0.003332	0memhg19-False40
LP0025_11_L003	0.02165	0memhg19-False40
LP0025_12_L003	0.03025	0memhg19-False40
LP0025_15_L003	0.1297	0memhg19-False40
LP0025_17_L003	0.06807	0memhg19-False40
LP0025_21_L004	0.1897	0memhg19-False40
LP0025_24_L003	0.01345	0memhg19-False40
LP0026_05_L003	0.02737	0memhg19-False40
LP0026_07_L003	0.02677	0memhg19-False40
LP0026_08_L003	0.3439	0memhg19-False40
LP0026_22_L003	0.443	0memhg19-False40
LP0026_26_L004	0.6453	0memhg19-False40
LP0026_38_L004	0.2539	0memhg19-False40
LP0026_42_L004	0.1199	0memhg19-False40
LP0027_26_L003	0.1236	0memhg19-False40
LP0027_35_L003	0.2381	0memhg19-False40
LP0027_39_L003	0.1617	0memhg19-False40
LP0028_01_L004	0.2701	0memhg19-False40
LP0029_02_L004	0.01094	0memhg19-False40
LP0029_04_L003	0.01945	0memhg19-False40
LP0029_05_L004	0.0123	0memhg19-False40
LP0029_06_L003	0.007739	0memhg19-False40
LP0030_03_L004	0.007644	0memhg19-False40
LP0030_05_L004	0.007818	0memhg19-False40
LP0020_01	0.01496	0memhg19-FalseDI26830XA
LP0020_02	0.02274	0memhg19-FalseDI26830XA
LP0020_03	0.03529	0memhg19-FalseDI26830XA
LP0020_04	0	0memhg19-FalseDI26830XA
LP0020_05	0.01915	0memhg19-FalseDI26830XA
LP0020_06	0.02635	0memhg19-FalseDI26830XA
LP0020_07	0	0memhg19-FalseDI26830XA
LP0020_08	0.02164	0memhg19-FalseDI26830XA
LP0025_01_L004	0.003533	0memhg19-FalseDI26830XA
LP0025_02_L004	0.01185	0memhg19-FalseDI26830XA
LP0025_03_L003	0.006017	0memhg19-FalseDI26830XA
LP0025_04_L004	0.003959	0memhg19-FalseDI26830XA
LP0025_05_L003	0.0173	0memhg19-FalseDI26830XA
LP0025_06_L003	0.01087	0memhg19-FalseDI26830XA
LP0025_07_L004	0.007076	0memhg19-FalseDI26830XA
LP0025_08_L004	0.003706	0memhg19-FalseDI26830XA
LP0025_10_L003	0.002529	0memhg19-FalseDI26830XA
LP0025_11_L003	0.02046	0memhg19-FalseDI26830XA
LP0025_12_L003	0.03065	0memhg19-FalseDI26830XA
LP0025_15_L003	0.1298	0memhg19-FalseDI26830XA
LP0025_17_L003	0.06929	0memhg19-FalseDI26830XA
LP0025_21_L004	0.225	0memhg19-FalseDI26830XA
LP0025_24_L003	0.0117	0memhg19-FalseDI26830XA
LP0026_05_L003	0.02567	0memhg19-FalseDI26830XA
LP0026_07_L003	0.02352	0memhg19-FalseDI26830XA
LP0026_08_L003	0.3439	0memhg19-FalseDI26830XA
LP0026_22_L003	0.4438	0memhg19-FalseDI26830XA
LP0026_26_L004	0.6463	0memhg19-FalseDI26830XA
LP0026_38_L004	0.2535	0memhg19-FalseDI26830XA
LP0026_42_L004	0.12	0memhg19-FalseDI26830XA
LP0027_26_L003	0.1227	0memhg19-FalseDI26830XA
LP0027_35_L003	0.2382	0memhg19-FalseDI26830XA
LP0027_39_L003	0.1607	0memhg19-FalseDI26830XA
LP0028_01_L004	0.2715	0memhg19-FalseDI26830XA
